property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,emaar mgf the palm drive,sector 66,2.8,14359.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,2,12.0,East,New Property,1950.0,1920.0,1600.0,1.0,1.0,0.0,1.0,0.0,2.0,69.0,650.0
house,independent,sector 23,2.8,17983.0,1557.0,Plot area 173(16.07 sq.m.)Built Up area: 160 sq.ft. (14.86 sq.m.)Carpet area: 150 sq.ft. (13.94 sq.m.),5.0,5.0,3+,2.0,North-East,Old Property,,160.0,150.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,311.4
house,international city by sobha phase 1,sector 109,6.75,10838.0,6228.0,Plot area 692(578.6 sq.m.),4.0,4.0,3+,2.0,North-East,New Property,,6228.0,,0.0,1.0,0.0,1.0,0.0,0.0,130.0,1557.0
house,independent,sector 7,1.15,8519.0,1350.0,Plot area 150(125.42 sq.m.),5.0,3.0,2,2.0,North-East,Old Property,,1350.0,,0.0,0.0,0.0,1.0,0.0,0.0,15.0,270.0
flat,signature global rosellia,sector 95,0.45,8755.0,514.0,Carpet area: 514 (47.75 sq.m.),2.0,2.0,2,14.0,,New Property,,,514.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,257.0
flat,dlf new town heights,sector 91,1.75,7403.0,2364.0,Super Built up area 2364(219.62 sq.m.),4.0,4.0,3+,9.0,South,Relatively New,2364.0,,,0.0,1.0,0.0,1.0,0.0,0.0,88.0,591.0
flat,vatika gurgaon,sector 83,1.1,6162.0,1785.0,Super Built up area 1785(165.83 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,3.0,3+,5.0,North-West,Relatively New,1785.0,1600.0,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,595.0
flat,pareena mi casa,sector 68,1.7,8504.0,1999.0,Super Built up area 1999(185.71 sq.m.),4.0,4.0,3,2.0,,New Property,1999.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,499.75
flat,raheja the vedaanta floors,sector 108,0.7,4522.0,1548.0,Carpet area: 1548 (143.81 sq.m.),2.0,2.0,3,1.0,,Moderately Old,,,1548.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,774.0
flat,bestech park view residency,sector 2,1.51,7869.0,1919.0,Super Built up area 1920(178.37 sq.m.),3.0,4.0,3+,7.0,South-West,Moderately Old,1920.0,,,0.0,1.0,0.0,0.0,0.0,1.0,84.0,639.6666666666666
flat,pyramid urban homes 2,sector 86,0.44,7321.0,601.0,Carpet area: 601 (55.83 sq.m.),2.0,2.0,2,6.0,East,Relatively New,,,601.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,300.5
flat,adani m2k oyster grande,sector 102,2.35,8468.0,2775.0,Super Built up area 2598(241.36 sq.m.),3.0,3.0,3,14.0,East,Relatively New,2598.0,,,1.0,1.0,0.0,0.0,0.0,1.0,165.0,925.0
flat,godrej summit,sector 104,1.75,7530.0,2324.0,Carpet area: 2324 (215.91 sq.m.),4.0,5.0,3+,1.0,,New Property,,,2324.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,581.0
flat,tulip violet,sector 69,1.75,8883.0,1970.0,Super Built up area 1970(183.02 sq.m.),4.0,4.0,1,12.0,North-West,Relatively New,1970.0,,,0.0,0.0,0.0,0.0,0.0,0.0,86.0,492.5
flat,ansal heights,sector 92,0.6,4545.0,1320.0,Super Built up area 1320(122.63 sq.m.),2.0,2.0,3,11.0,,Under Construction,1320.0,,,0.0,0.0,0.0,0.0,1.0,0.0,23.0,660.0
flat,guru gram haryana cghs,sector 56,1.38,7225.0,1910.0,Built Up area: 1910 (177.44 sq.m.),3.0,3.0,3,5.0,North,Moderately Old,,1910.0,,1.0,0.0,0.0,0.0,0.0,1.0,134.0,636.6666666666666
flat,shree vardhman flora,sector 90,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.),3.0,4.0,3,4.0,East,Relatively New,1950.0,,,0.0,1.0,0.0,0.0,0.0,0.0,165.0,650.0
house,independent,sector 26,4.45,35178.0,1265.0,Plot area 150(125.42 sq.m.),4.0,4.0,3,3.0,West,Old Property,,150.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,316.25
house,independent,sector 31,3.25,22429.0,1449.0,Plot area 161(134.62 sq.m.),4.0,4.0,3+,3.0,,Moderately Old,,1449.0,,1.0,1.0,1.0,1.0,0.0,1.0,29.0,362.25
flat,supertech basera,sector 79,0.36,7643.0,471.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2.0,2.0,1,4.0,,New Property,,546.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,235.5
flat,dlf the belaire,sector 54,7.0,23333.0,3000.0,Super Built up area 3000(278.71 sq.m.),4.0,6.0,3+,12.0,East,Moderately Old,3000.0,,,0.0,1.0,1.0,1.0,0.0,1.0,108.0,750.0
flat,emaar palm gardens,sector 83,1.4,9675.0,1447.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1447 sq.ft. (134.43 sq.m.),3.0,3.0,3,11.0,North,Relatively New,1720.0,,1447.0,0.0,1.0,0.0,0.0,0.0,2.0,58.0,482.3333333333333
flat,the close north,sector 50,2.35,11228.0,2093.0,Super Built up area 2093(194.45 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3.0,3.0,3,8.0,North-East,Moderately Old,2093.0,2000.0,1850.0,0.0,0.0,1.0,0.0,0.0,1.0,149.0,697.6666666666666
flat,ss the leaf,sector 85,2.15,10925.0,1968.0,Super Built up area 2812(261.24 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4.0,5.0,3+,6.0,South,Relatively New,2812.0,,1968.0,0.0,1.0,0.0,0.0,0.0,0.0,156.0,492.0
flat,sobha city,sector 108,2.95,14728.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,4.0,2,12.0,East,Relatively New,2003.0,1600.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,667.6666666666666
flat,godrej habitat,sector 3,1.1,10407.0,1057.0,Super Built up area 1056.58(98.16 sq.m.),2.0,2.0,2,14.0,,Under Construction,1056.58,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,528.5
house,independent,sector 47,4.3,29312.0,1467.0,Plot area 163(136.29 sq.m.),3.0,4.0,2,2.0,,Moderately Old,,1467.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,489.0
flat,umang monsoon breeze,sector 78,1.25,5000.0,2500.0,Super Built up area 2350(218.32 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4.0,4.0,3,2.0,East,Relatively New,2350.0,2300.0,2000.0,0.0,1.0,0.0,1.0,1.0,0.0,57.0,625.0
flat,raheja revanta,sector 78,1.2,10017.0,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1.0,2.0,2,32.0,,Under Construction,1197.8,,505.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1198.0
house,independent,sector 105,9.9,49500.0,2000.0,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2.0,2.0,2,3.0,North,Undefined,,2000.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
flat,la vida by tata housing,sector 113,3.35,16750.0,2000.0,Super Built up area 2691(250 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,4.0,3+,12.0,North-East,New Property,2691.0,2200.0,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,174.0,666.6666666666666
flat,bptp astaire gardens,sector 70a,1.8,9351.0,1925.0,Built Up area: 1925 (178.84 sq.m.),3.0,3.0,3,3.0,North-West,Relatively New,,1925.0,,1.0,0.0,0.0,0.0,0.0,0.0,135.0,641.6666666666666
house,nirvana cedar crest,sector 50,7.1,32870.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 239 sq.yards (199.83 sq.m.)Carpet area: 238 sq.yards (199 sq.m.),5.0,4.0,3,2.0,East,Moderately Old,,239.0,238.0,1.0,0.0,1.0,1.0,0.0,1.0,110.0,432.0
flat,supertech araville,sector 79,0.71,5521.0,1286.0,Built Up area: 1295 (120.31 sq.m.),2.0,2.0,0,9.0,,Under Construction,,1295.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0
flat,ss almeria,sector 84,1.48,7400.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3.0,3.0,2,1.0,South-West,New Property,2000.0,,1294.0,0.0,1.0,1.0,0.0,0.0,1.0,139.0,666.6666666666666
flat,krrish florence estate,sector 70,1.25,6702.0,1865.0,Super Built up area 1865(173.26 sq.m.),3.0,3.0,3,18.0,North-East,Under Construction,1865.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,621.6666666666666
flat,ireo victory valley,sector 67,2.87,11904.0,2411.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1808 sq.ft. (167.97 sq.m.),3.0,3.0,3+,16.0,North-West,Relatively New,2411.0,,1808.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,803.6666666666666
flat,smart world orchard,sector 61,2.2,13497.0,1630.0,Carpet area: 1630 (151.43 sq.m.),3.0,3.0,2,3.0,,Under Construction,,,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,543.3333333333334
flat,ats kocoon,sector 109,1.65,10645.0,1550.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3,19.0,East,Relatively New,1745.0,1650.0,1550.0,0.0,0.0,1.0,0.0,0.0,1.0,159.0,516.6666666666666
flat,emaar palm gardens,sector 83,1.4,8140.0,1720.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3.0,3.0,3,2.0,North-West,Relatively New,1720.0,,1095.3,1.0,1.0,1.0,1.0,0.0,1.0,174.0,573.3333333333334
flat,umang winter hills,sector 77,1.4,6341.0,2208.0,Built Up area: 1735 (161.19 sq.m.),3.0,3.0,3,10.0,North-East,Undefined,,1735.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,736.0
house,ansal sushant lok plots,sector 43,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6.0,6.0,3,2.0,South-West,Relatively New,,1935.0,,0.0,1.0,0.0,0.0,1.0,1.0,49.0,322.5
flat,tata gurgaon gateway,sector 113,3.21,11823.0,2715.0,Super Built up area 2520(234.12 sq.m.),3.0,3.0,3,9.0,,New Property,2520.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,905.0
house,independent,sector 3,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.),3.0,4.0,3,3.0,,Moderately Old,,3500.0,,0.0,0.0,0.0,0.0,1.0,1.0,42.0,300.0
house,tata primanti,sector 72,8.5,13492.0,6300.0,Plot area 6300(585.29 sq.m.),5.0,6.0,3+,10.0,East,Relatively New,,6300.0,,1.0,1.0,1.0,1.0,0.0,1.0,145.0,1260.0
flat,sapphire eighty three,sector 83,0.4,8547.0,468.0,Carpet area: 468 (43.48 sq.m.),1.0,1.0,1,6.0,North-East,Relatively New,,,468.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,468.0
flat,ireo victory valley,sector 67,2.95,12236.0,2411.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1906 sq.ft. (177.07 sq.m.),3.0,3.0,3,10.0,North-West,Relatively New,2411.0,,1906.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,803.6666666666666
flat,siddhartha apartment,sector 95,1.1,4327.0,2542.0,Carpet area: 2542 (236.16 sq.m.),4.0,3.0,3,9.0,North,Relatively New,,,2542.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,635.5
flat,ild greens,sector 37,1.0,4724.0,2117.0,Super Built up area 1800(167.23 sq.m.),3.0,3.0,3,3.0,,Under Construction,1800.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,705.6666666666666
flat,vatika the seven lamps,sector 82,1.0,5924.0,1688.0,Super Built up area 1435(133.32 sq.m.),2.0,2.0,2,11.0,South,Relatively New,1435.0,,,1.0,0.0,0.0,0.0,0.0,1.0,90.0,844.0
flat,green campus chs,manesar,0.92,4023.0,2287.0,Super Built up area 2287(212.47 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,3+,8.0,East,Moderately Old,2287.0,,1600.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,762.3333333333334
flat,ramsons kshitij,sector 95,0.45,4592.0,980.0,Super Built up area 980(91.04 sq.m.),2.0,2.0,1,2.0,,Relatively New,980.0,,,1.0,0.0,0.0,0.0,0.0,0.0,89.0,490.0
flat,shree vardhman flora,sector 90,1.25,4854.0,2575.0,Super Built up area 2575(239.23 sq.m.),4.0,5.0,2,8.0,South,Relatively New,2575.0,,,1.0,1.0,0.0,0.0,0.0,0.0,165.0,643.75
flat,emaar mgf emerald floors premier,sector 65,2.35,14242.0,1650.0,Super Built up area 1650(153.29 sq.m.),3.0,3.0,3,2.0,West,Relatively New,1650.0,,,1.0,1.0,0.0,0.0,0.0,1.0,168.0,550.0
flat,tulip violet,sector 69,1.4,9103.0,1538.0,Super Built up area 1538(142.88 sq.m.),3.0,3.0,1,12.0,North-West,Relatively New,1538.0,,,0.0,0.0,0.0,0.0,0.0,1.0,157.0,512.6666666666666
flat,sidhartha ncr one,sector 95,0.55,5556.0,990.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,15.0,North-East,Undefined,,990.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0
house,independent,sector 105,0.74,7400.0,1000.0,Built Up area: 1000 (92.9 sq.m.),3.0,3.0,0,2.0,,Undefined,,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.3333333333333
flat,dlf the crest,sector 54,11.0,35223.0,3123.0,Super Built up area 3123(290.14 sq.m.),4.0,6.0,3,7.0,,Relatively New,3123.0,,,0.0,1.0,0.0,0.0,0.0,2.0,125.0,780.75
house,independent,sector 39,1.8,21871.0,823.0,Plot area 900(83.61 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),1.0,1.0,2,3.0,North-East,Relatively New,,800.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0
flat,sare crescent parc,sector 92,1.0,5128.0,1950.0,Carpet area: 1950 (181.16 sq.m.),4.0,3.0,2,1.0,East,Relatively New,,,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,487.5
flat,shree vardhman flora,sector 90,0.65,5000.0,1300.0,Super Built up area 1300(120.77 sq.m.),2.0,2.0,2,12.0,East,Old Property,1300.0,,,1.0,0.0,0.0,0.0,0.0,0.0,103.0,650.0
flat,godrej,sector 79,1.3,8270.0,1572.0,Super Built up area 1572(146.04 sq.m.),2.0,2.0,3,3.0,North-East,New Property,1572.0,,,1.0,0.0,0.0,0.0,0.0,0.0,49.0,786.0
flat,indiabulls enigma,sector 110,3.49,10265.0,3400.0,Super Built up area 3400(315.87 sq.m.),4.0,5.0,3,7.0,North-West,Relatively New,3400.0,,,0.0,1.0,0.0,0.0,0.0,0.0,165.0,850.0
house,uppal southend,sector 49,6.75,32328.0,2088.0,Built Up area: 232 (193.98 sq.m.),4.0,4.0,3,3.0,West,Relatively New,,232.0,,0.0,1.0,0.0,0.0,0.0,1.0,26.0,522.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2.0,2.0,2,0.0,,Under Construction,,,915.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,457.5
flat,dlf regency park,sector 28,2.26,13697.0,1650.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3.0,3.0,2,19.0,East,Old Property,1777.0,1700.0,1650.0,0.0,1.0,0.0,0.0,0.0,0.0,158.0,550.0
flat,sobha smriti apartments,sector 56,0.5,8333.0,600.0,Carpet area: 600 (55.74 sq.m.),1.0,1.0,2,3.0,,Undefined,,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
flat,smart world orchard,sector 61,2.54,15497.0,1639.0,Carpet area: 1640 (152.36 sq.m.),3.0,3.0,3,2.0,,Under Construction,,,1640.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,546.3333333333334
flat,godrej,sector 79,2.0,8475.0,2360.0,Super Built up area 2366(219.81 sq.m.)Built Up area: 1963 sq.ft. (182.37 sq.m.)Carpet area: 1629 sq.ft. (151.34 sq.m.),3.0,4.0,3+,9.0,East,Relatively New,2366.0,1963.0,1629.0,0.0,1.0,0.0,0.0,0.0,0.0,108.0,786.6666666666666
flat,shree vardhman flora,sector 90,0.95,6333.0,1500.0,Carpet area: 1500 (139.35 sq.m.),3.0,3.0,3,9.0,South-East,Relatively New,,,1500.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,500.0
flat,godrej,sector 79,1.12,7147.0,1567.0,Super Built up area 1572(146.04 sq.m.)Built Up area: 1325 sq.ft. (123.1 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,6.0,North-East,Relatively New,1572.0,1325.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,783.5
flat,bestech park view residency,sector 2,1.01,7138.0,1415.0,Super Built up area 1415(131.46 sq.m.),2.0,2.0,3,0.0,East,Moderately Old,1415.0,,,0.0,0.0,0.0,0.0,0.0,0.0,92.0,707.5
flat,puri emerald bay,sector 104,2.3,9388.0,2450.0,Super Built up area 2450(227.61 sq.m.),3.0,4.0,3+,10.0,North-East,Moderately Old,2450.0,,,0.0,1.0,0.0,0.0,0.0,0.0,101.0,816.6666666666666
flat,ss hibiscus,sector 50,6.0,12272.0,4889.0,Super Built up area 4400(408.77 sq.m.),4.0,3.0,3,5.0,South-East,Moderately Old,4400.0,,,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1222.25
house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5.0,5.0,3+,3.0,East,New Property,,3240.0,,0.0,1.0,1.0,1.0,0.0,1.0,106.0,648.0
flat,sare crescent parc,sector 92,0.92,4855.0,1895.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,5.0,3+,14.0,North-East,Moderately Old,,1895.0,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,131.0,473.75
flat,m3m capital,sector 113,3.25,14143.0,2298.0,Carpet area: 2298 (213.49 sq.m.),4.0,4.0,3+,34.0,,Under Construction,,,2298.0,1.0,1.0,0.0,1.0,0.0,0.0,115.0,574.5
flat,dlf regal gardens,sector 90,1.76,7946.0,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2020 sq.ft. (187.66 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4.0,4.0,3+,8.0,North,Relatively New,2215.0,2020.0,1670.0,0.0,0.0,0.0,0.0,0.0,1.0,135.0,553.75
flat,tulip violet,sector 69,1.75,8706.0,2010.0,Super Built up area 2010(186.74 sq.m.),4.0,4.0,2,10.0,North-East,Relatively New,2010.0,,,0.0,0.0,0.0,0.0,0.0,1.0,109.0,502.5
house,independent,sector 43,5.25,27132.0,1935.0,Plot area 215(179.77 sq.m.),4.0,4.0,2,2.0,,Old Property,,1935.0,,1.0,1.0,0.0,0.0,0.0,1.0,80.0,483.75
house,independent,sector 43,2.5,2885.0,8667.0,Plot area 107(89.47 sq.m.),7.0,7.0,3,4.0,West,Relatively New,,963.0,,0.0,0.0,0.0,0.0,1.0,2.0,20.0,1238.142857142857
flat,zara aavaas,sector 104,0.4,7030.0,569.0,Super Built up area 569(52.86 sq.m.),2.0,2.0,1,14.0,,Relatively New,569.0,,,0.0,0.0,0.0,0.0,0.0,0.0,38.0,284.5
flat,shree vardhman flora,sector 90,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.),3.0,4.0,3,4.0,South-West,Relatively New,1950.0,,,0.0,1.0,0.0,0.0,0.0,0.0,165.0,650.0
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),2.0,2.0,2,14.0,,Undefined,,915.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.5
flat,bptp astaire gardens,sector 70a,1.7,8947.0,1900.0,Carpet area: 1900 (176.52 sq.m.),4.0,3.0,3,1.0,North-East,Relatively New,,,1900.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,475.0
house,independent,sector 4,0.47,10609.0,443.0,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2.0,2.0,1,2.0,East,New Property,,50.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,73.0,221.5
flat,paras dews,sector 106,0.95,6859.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2.0,2.0,3+,2.0,North,Relatively New,1385.0,940.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,692.5
flat,tulip violet,sector 69,1.37,8908.0,1538.0,Super Built up area 1538(142.88 sq.m.),3.0,3.0,1,12.0,North-East,Relatively New,1538.0,,,0.0,0.0,0.0,0.0,0.0,0.0,116.0,512.6666666666666
flat,breez global hill view,sohna road,0.35,6318.0,554.0,Carpet area: 554.16 (51.48 sq.m.),2.0,2.0,2,14.0,West,New Property,,,554.1255719999999,0.0,0.0,0.0,0.0,0.0,0.0,53.0,277.0
flat,dlf the primus,sector 82a,1.8,13846.0,1300.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3.0,3+,10.0,North-East,Relatively New,1818.0,,1300.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,433.3333333333333
house,sneh vihar,sohna road,1.35,10000.0,1350.0,Plot area 1350(125.42 sq.m.),5.0,5.0,3+,4.0,,Relatively New,,1350.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0
flat,the close north,sector 50,2.51,11992.0,2093.0,Super Built up area 2093(194.45 sq.m.),3.0,3.0,3,11.0,North-East,Moderately Old,2093.0,,,0.0,0.0,1.0,1.0,0.0,1.0,109.0,697.6666666666666
flat,vidya apartment,sector 5,0.22,4207.0,523.0,Built Up area: 570 (52.95 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,1,1.0,North-West,Relatively New,,570.0,550.0,0.0,0.0,0.0,0.0,1.0,2.0,36.0,261.5
flat,m3m skywalk,sector 74,2.45,12141.0,2018.0,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),3.0,3.0,3+,25.0,South-West,Relatively New,2018.0,1800.0,1614.0,1.0,0.0,0.0,0.0,0.0,0.0,137.0,672.6666666666666
flat,tulip violet,sector 69,1.2,10909.0,1100.0,Built Up area: 1100 (102.19 sq.m.),2.0,3.0,0,0.0,,Undefined,,1100.0,,0.0,0.0,0.0,0.0,0.0,0.0,54.0,550.0
flat,ansal heights 86,sector 86,1.25,7396.0,1690.0,Super Built up area 1690(157.01 sq.m.),3.0,2.0,1,2.0,,New Property,1690.0,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,563.3333333333334
house,independent,sector 46,2.2,24202.0,909.0,Plot area 101(84.45 sq.m.),3.0,3.0,2,3.0,North-West,Old Property,,909.0,,0.0,0.0,1.0,0.0,0.0,1.0,56.0,303.0
flat,dlf regency park,sector 28,1.91,16609.0,1150.0,Carpet area: 1150 (106.84 sq.m.),2.0,2.0,2,11.0,,New Property,,,1150.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,575.0
flat,eldeco accolade,sohna road,0.95,6543.0,1452.0,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2.0,2.0,3+,6.0,East,New Property,1452.0,,849.0,1.0,0.0,0.0,0.0,0.0,1.0,56.0,726.0
flat,smart world gems,sector 89,0.88,7978.0,1103.0,Built Up area: 1103 (102.47 sq.m.),2.0,2.0,0,2.0,,Undefined,,1103.0,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,551.5
house,vipul tatvam villa,sector 48,7.69,24069.0,3195.0,Plot area 355(296.83 sq.m.),4.0,5.0,3,2.0,North-West,Moderately Old,,3195.0,,1.0,1.0,1.0,1.0,0.0,1.0,110.0,798.75
flat,umang monsoon breeze,sector 78,1.1,5055.0,2176.0,Built Up area: 2176 (202.16 sq.m.),3.0,3.0,3+,9.0,,Old Property,,2176.0,,0.0,1.0,0.0,0.0,0.0,0.0,80.0,725.3333333333334
house,independent,sector 13,0.9,11465.0,785.0,Plot area 785(72.93 sq.m.),2.0,4.0,3,3.0,North-West,Moderately Old,,785.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,392.5
flat,tulip violet,sector 69,1.32,8413.0,1569.0,Super Built up area 1568(145.67 sq.m.),3.0,3.0,1,12.0,South-West,Relatively New,1568.0,,,0.0,0.0,0.0,1.0,0.0,1.0,86.0,523.0
flat,shree vardhman victoria,sector 70,1.9,9744.0,1950.0,Super Built up area 1950(181.16 sq.m.),3.0,3.0,3,10.0,North-East,New Property,1950.0,,,0.0,1.0,1.0,1.0,1.0,0.0,36.0,650.0
flat,conscient elevate,sector 59,4.25,18519.0,2295.0,Super Built up area 2295(213.21 sq.m.),3.0,4.0,3,3.0,,Under Construction,2295.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0
house,independent,sector 26,4.5,33333.0,1350.0,Plot area 150(125.42 sq.m.),5.0,5.0,3+,2.0,,Old Property,,1350.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,270.0
flat,central park flower valley,sohna road,1.2,6742.0,1780.0,Built Up area: 1780 (165.37 sq.m.),3.0,3.0,0,11.0,,Undefined,,1780.0,,0.0,0.0,0.0,0.0,0.0,0.0,66.0,593.3333333333334
flat,dlf the ultima,sector 81,2.2,11190.0,1966.0,Super Built up area 2100(195.1 sq.m.),3.0,4.0,3+,7.0,North-East,Relatively New,2100.0,,,0.0,1.0,0.0,0.0,0.0,2.0,104.0,655.3333333333334
house,eros rosewood city,sector 49,4.05,20769.0,1950.0,Plot area 1710(158.86 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3.0,3.0,3,2.0,East,Moderately Old,,2000.0,1950.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,650.0
