property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 56,1.59,4.0,3.0,3+,Old Property,1900.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 92,0.85,4.0,4.0,3,Relatively New,1743.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 92,0.7,3.0,3.0,2,Under Construction,140.0,0.0,0.0,0.0,Low,High Floor
flat,sector 56,2.05,4.0,4.0,3+,Relatively New,2500.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 41,2.75,3.0,3.0,2,Old Property,1640.0,0.0,0.0,2.0,Medium,High Floor
flat,sector 49,1.98,3.0,4.0,3,Moderately Old,1750.75,1.0,0.0,1.0,Medium,Mid Floor
house,sector 109,9.5,7.0,6.0,3,Relatively New,3600.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 72,3.5,4.0,5.0,3+,Relatively New,2625.0,1.0,0.0,0.0,Low,High Floor
house,sector 55,3.55,4.0,4.0,3+,Old Property,1449.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 89,0.86,2.0,3.0,2,New Property,1226.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 28,2.2,3.0,4.0,3+,Moderately Old,1956.0,1.0,0.0,2.0,Low,Mid Floor
flat,sector 88a,0.45,2.0,2.0,1,New Property,695.0,0.0,0.0,0.0,Low,Mid Floor
flat,sohna road,0.69,2.0,2.0,2,Under Construction,1350.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 110,0.34,1.0,1.0,0,Moderately Old,500.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 67,2.95,3.0,3.0,3+,Moderately Old,2236.0,1.0,0.0,1.0,High,High Floor
flat,sector 67,3.5,3.0,4.0,3,Relatively New,2490.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 33,2.1,3.0,3.0,2,Under Construction,1619.0,0.0,0.0,0.0,Low,Mid Floor
flat,manesar,1.2,3.0,4.0,2,Relatively New,1670.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 89,1.1,3.0,2.0,3,New Property,1550.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 67a,1.4,2.0,2.0,2,Relatively New,1149.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.55,3.0,3.0,2,Relatively New,1455.0,0.0,0.0,1.0,Medium,Low Floor
flat,manesar,0.64,3.0,2.0,3+,Old Property,1696.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 43,5.5,1.0,1.0,0,Old Property,1935.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 71,1.1,3.0,3.0,3,Relatively New,1466.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 33,1.3,3.0,2.0,3+,New Property,1409.0,0.0,0.0,0.0,Low,High Floor
house,sector 25,6.6,6.0,7.0,3+,Moderately Old,1800.0,1.0,0.0,1.0,Medium,Low Floor
house,sector 31,4.25,5.0,5.0,3+,Moderately Old,1620.0,0.0,1.0,1.0,Medium,Mid Floor
house,sector 70a,0.92,2.0,3.0,3+,New Property,1319.0,0.0,0.0,0.0,High,Mid Floor
flat,sohna road,0.4,2.0,2.0,1,New Property,615.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 90,1.15,3.0,3.0,3+,Relatively New,1645.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 14,2.2,3.0,4.0,3+,Old Property,1956.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 89,1.0,2.0,2.0,2,Under Construction,1230.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 79,1.9,3.0,4.0,2,New Property,2389.0,1.0,0.0,0.0,Low,High Floor
flat,sector 81,2.2,3.0,3.0,3+,Relatively New,1570.0,1.0,0.0,2.0,Low,Mid Floor
flat,sector 90,1.78,4.0,4.0,3+,Relatively New,2005.0,0.0,0.0,0.0,Medium,High Floor
house,sector 43,2.45,4.0,4.0,3+,Moderately Old,540.0,1.0,0.0,2.0,Medium,Mid Floor
flat,sector 61,2.45,3.0,3.0,3,New Property,1223.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 99,0.31,2.0,2.0,2,New Property,583.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 90,0.7,2.0,2.0,3,New Property,1224.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 106,1.35,4.0,3.0,3,Old Property,1678.0,1.0,0.0,0.0,Medium,High Floor
house,sector 109,5.75,4.0,4.0,2,Relatively New,4800.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 90,1.25,3.0,3.0,3+,Relatively New,1700.0,1.0,0.0,0.0,Medium,High Floor
house,sector 3,3.5,1.0,1.0,0,Moderately Old,3800.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 99,0.27,2.0,2.0,1,Relatively New,538.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 112,3.75,3.0,3.0,2,Relatively New,2225.56,1.0,0.0,1.0,High,High Floor
flat,sector 74,1.54,2.0,2.0,3+,Relatively New,1200.0,0.0,0.0,0.0,Medium,High Floor
house,sector 4,0.58,2.0,2.0,1,Moderately Old,67.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 72,5.25,4.0,4.0,3+,New Property,3000.0,1.0,0.0,1.0,High,High Floor
house,sector 2,3.65,3.0,9.0,3+,New Property,1557.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 110,1.8,3.0,3.0,3+,Relatively New,1850.0,1.0,0.0,1.0,Medium,Mid Floor
house,sector 6,0.85,2.0,2.0,0,Moderately Old,1222.0,0.0,0.0,0.0,Low,Mid Floor
flat,manesar,0.75,3.0,4.0,3,Relatively New,2717.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 2,5.2,4.0,5.0,2,Moderately Old,5200.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 107,0.9,2.0,2.0,3+,New Property,1236.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 90,1.25,3.0,3.0,3,Moderately Old,1541.0,1.0,0.0,0.0,Low,High Floor
house,sector 50,7.0,4.0,4.0,2,Old Property,2160.0,1.0,0.0,0.0,Low,Low Floor
house,sector 50,12.0,5.0,6.0,3+,Moderately Old,3240.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 86,1.25,3.0,2.0,1,New Property,1529.0,0.0,0.0,0.0,Low,High Floor
flat,sector 65,2.36,3.0,3.0,3,Relatively New,1524.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 86,1.05,3.0,3.0,3,Under Construction,1715.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 52,1.76,4.0,4.0,3+,New Property,2199.0,0.0,0.0,0.0,Low,High Floor
flat,sector 81,1.1,3.0,2.0,3+,Relatively New,1319.0,0.0,0.0,0.0,High,Mid Floor
flat,sector 92,0.8,3.0,2.0,2,Relatively New,1473.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 83,0.6,2.0,2.0,2,Relatively New,990.0,0.0,0.0,1.0,High,Low Floor
flat,sector 85,0.93,3.0,3.0,3,Relatively New,1587.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 48,6.4,4.0,4.0,3,Moderately Old,2700.0,1.0,1.0,1.0,High,Mid Floor
flat,sector 102,1.45,3.0,3.0,2,Relatively New,1493.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 85,1.18,2.0,2.0,3,Relatively New,1700.0,0.0,0.0,1.0,High,Mid Floor
house,sector 46,3.5,4.0,4.0,2,Relatively New,1620.0,0.0,0.0,1.0,Low,Low Floor
house,sector 83,1.7,3.0,3.0,3+,New Property,2160.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 95,0.55,2.0,2.0,2,New Property,1256.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 102,0.96,2.0,2.0,2,Relatively New,828.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.35,2.0,2.0,1,New Property,699.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 70,5.0,6.0,7.0,3+,Relatively New,5333.0,1.0,0.0,0.0,Medium,Low Floor
house,sector 5,0.55,2.0,1.0,0,Relatively New,1100.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 33,1.2,2.0,2.0,2,Under Construction,1492.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 74,2.2,3.0,3.0,3,New Property,1826.0,0.0,0.0,1.0,Low,High Floor
flat,sector 77,1.35,3.0,3.0,3+,New Property,1451.0,0.0,1.0,1.0,Medium,Mid Floor
flat,sector 33,1.2,2.0,2.0,0,Under Construction,85.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 36,0.72,3.0,2.0,3,Under Construction,978.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 12,0.7,3.0,3.0,0,Relatively New,1160.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 69,1.43,3.0,3.0,2,Relatively New,1455.0,0.0,0.0,0.0,Medium,Low Floor
flat,sohna road,0.22,1.0,1.0,1,Relatively New,477.809521,0.0,0.0,1.0,Low,Mid Floor
flat,sector 65,5.2,3.0,3.0,3,Relatively New,2696.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 88a,1.3,3.0,3.0,3+,Relatively New,1990.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,0.62,2.0,2.0,1,Relatively New,536.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 95,0.33,2.0,2.0,1,New Property,694.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 21,0.8,2.0,2.0,2,Old Property,1256.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 43,6.5,4.0,5.0,2,Relatively New,2661.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 26,20.0,5.0,7.0,3+,Relatively New,4500.0,1.0,0.0,2.0,Medium,Mid Floor
flat,sector 37,0.86,2.0,3.0,3,Relatively New,1442.0,0.0,0.0,0.0,Low,Mid Floor
flat,dwarka expressway,1.2,3.0,3.0,3+,Under Construction,1940.0,1.0,0.0,0.0,Low,Mid Floor
flat,sohna road,0.46,2.0,2.0,2,Relatively New,789.0,0.0,0.0,2.0,Low,Mid Floor
house,sector 2,6.0,4.0,4.0,1,Relatively New,3000.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 65,5.4,3.0,4.0,3,Moderately Old,2696.0,1.0,0.0,1.0,High,High Floor
flat,sector 95,0.26,1.0,1.0,1,New Property,406.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 83,0.65,1.0,1.0,0,Relatively New,700.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 66,3.9,3.0,4.0,3,Relatively New,2200.0,0.0,0.0,0.0,Low,Low Floor
house,sector 7,3.1,3.0,3.0,2,Old Property,2250.0,0.0,0.0,0.0,Low,Low Floor
house,sohna road,1.55,2.0,3.0,2,New Property,1053.0,0.0,0.0,1.0,Low,Low Floor
house,sector 108,10.5,5.0,4.0,3+,Relatively New,7331.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 79,1.0,2.0,2.0,2,Relatively New,1300.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 82,1.16,3.0,3.0,3+,Relatively New,1844.0,1.0,1.0,1.0,High,Low Floor
flat,sector 72,5.0,4.0,4.0,3+,Moderately Old,4500.0,1.0,0.0,1.0,High,Low Floor
house,sector 38,4.0,6.0,6.0,3+,Old Property,1836.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 68,1.2,2.0,2.0,3,Relatively New,982.0,0.0,0.0,2.0,Medium,Low Floor
flat,sector 86,1.58,3.0,3.0,1,Relatively New,1750.0,0.0,0.0,1.0,High,High Floor
flat,sector 89,0.8,2.0,3.0,3,Under Construction,1502.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.85,3.0,2.0,2,New Property,1080.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 69,1.4,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,0.0,Medium,High Floor
house,sector 2,1.15,3.0,3.0,2,Old Property,594.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 56,1.39,3.0,3.0,3,Moderately Old,1738.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 62,9.2,4.0,6.0,3,Relatively New,3867.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 80,1.4,3.0,4.0,2,Moderately Old,1854.0,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 70a,0.97,3.0,3.0,3+,Relatively New,1339.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 77,1.5,3.0,3.0,3,Relatively New,1310.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 81,0.8,2.0,2.0,2,Under Construction,607.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 31,1.2,3.0,2.0,2,Moderately Old,1450.0,0.0,0.0,2.0,Medium,Low Floor
house,sector 23,5.5,8.0,8.0,2,Moderately Old,2520.0,1.0,0.0,1.0,Medium,Mid Floor
house,sector 4,0.55,3.0,3.0,2,Relatively New,1350.0,0.0,0.0,0.0,Low,Low Floor
house,sector 2,0.65,2.0,2.0,1,Moderately Old,1125.0,0.0,1.0,0.0,Low,Low Floor
flat,sector 7,0.36,2.0,2.0,1,Relatively New,700.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 66,3.4,4.0,4.0,3+,Relatively New,2210.0,1.0,0.0,1.0,High,Low Floor
house,sohna road,5.5,3.0,3.0,3+,Moderately Old,3500.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 69,1.92,4.0,4.0,2,Relatively New,1389.0,0.0,0.0,0.0,High,Low Floor
flat,sector 73,1.0,2.0,2.0,2,New Property,1444.0,0.0,0.0,0.0,Low,High Floor
flat,sector 68,1.05,2.0,2.0,2,New Property,1200.0,0.0,0.0,1.0,Medium,High Floor
house,sector 43,1.65,4.0,4.0,3+,Moderately Old,540.0,0.0,0.0,2.0,Low,Mid Floor
flat,sector 99,1.4,3.0,5.0,3+,New Property,1807.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 51,0.3,1.0,1.0,2,Old Property,459.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 65,1.8,2.0,2.0,3,New Property,1456.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 52,1.55,4.0,4.0,3,Moderately Old,2100.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 67a,1.5,2.0,2.0,2,Relatively New,1500.0,0.0,1.0,1.0,Low,Mid Floor
flat,sector 108,1.5,3.0,4.0,0,Relatively New,2850.0,0.0,0.0,0.0,Low,High Floor
flat,sector 104,0.22,1.0,2.0,2,New Property,335.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 33,1.5,3.0,3.0,3,Under Construction,1403.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.28,2.0,2.0,1,Relatively New,743.0,0.0,0.0,0.0,Low,High Floor
flat,sector 56,1.35,3.0,3.0,3,Old Property,1800.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 99,1.05,2.0,2.0,3,Relatively New,1390.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 69,3.05,4.0,5.0,3+,Relatively New,2856.0,1.0,0.0,0.0,Low,High Floor
flat,sector 60,3.75,4.0,4.0,3,Relatively New,2650.0,1.0,0.0,1.0,Low,High Floor
flat,sector 2,3.35,4.0,4.0,3+,New Property,5000.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 62,4.25,3.0,3.0,3,Under Construction,1600.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 10,0.8,2.0,3.0,2,New Property,1389.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 92,0.75,4.0,4.0,3+,Relatively New,1734.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,0.6,2.0,1.0,1,Relatively New,584.0,0.0,0.0,0.0,Low,High Floor
flat,sector 50,1.82,3.0,3.0,3+,Moderately Old,1830.0,0.0,0.0,1.0,High,High Floor
flat,sector 102,1.95,3.0,3.0,3,New Property,1616.0,0.0,0.0,1.0,High,Mid Floor
house,sector 105,1.15,3.0,2.0,1,Moderately Old,3889.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 83,0.8,2.0,2.0,2,Moderately Old,1195.0,0.0,1.0,0.0,Low,Mid Floor
house,sector 28,9.54,6.0,5.0,3+,New Property,3240.0,1.0,1.0,0.0,High,Mid Floor
flat,sector 56,1.5,3.0,5.0,3+,Moderately Old,2250.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 85,1.58,3.0,4.0,3,Relatively New,2227.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 85,1.25,3.0,4.0,2,Relatively New,1616.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.78,2.0,2.0,3,Under Construction,846.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 92,0.65,3.0,3.0,3,Moderately Old,1571.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 112,5.31,4.0,6.0,3+,Relatively New,3573.33,1.0,0.0,0.0,Medium,High Floor
flat,sector 72,4.1,4.0,5.0,3+,New Property,2629.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 102,1.26,2.0,2.0,3,Relatively New,1100.0,0.0,0.0,1.0,Low,Mid Floor
flat,gwal pahari,5.9,4.0,4.0,3+,Moderately Old,5350.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 43,2.0,3.0,3.0,2,Old Property,1467.0,1.0,0.0,2.0,Low,Low Floor
flat,sector 86,1.6,3.0,3.0,3+,Relatively New,1548.0,0.0,0.0,1.0,High,Mid Floor
house,sector 49,4.5,8.0,8.0,3,Moderately Old,2880.0,1.0,1.0,2.0,High,Mid Floor
flat,sohna road,0.24,1.0,1.0,2,New Property,360.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 37,0.4,2.0,2.0,3,Under Construction,756.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 36,0.66,2.0,2.0,3,New Property,823.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 59,3.9,3.0,1.0,0,Under Construction,2295.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 70a,0.85,2.0,2.0,2,Relatively New,842.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 84,0.35,2.0,2.0,1,Relatively New,531.0,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 56,1.99,4.0,4.0,3+,Old Property,2000.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 79,0.71,2.0,2.0,3+,New Property,1280.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 104,0.85,2.0,2.0,3+,Relatively New,1269.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 7,6.5,3.0,2.0,3+,Old Property,4320.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 63a,0.7,1.0,1.0,0,Under Construction,693.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 50,12.25,5.0,7.0,3+,Relatively New,5850.0,1.0,0.0,1.0,High,Low Floor
flat,sector 71,1.0,1.0,1.0,1,Moderately Old,869.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 67,0.95,1.0,1.0,1,Relatively New,826.0,0.0,0.0,0.0,Low,High Floor
house,sector 15,1.07,2.0,2.0,1,Old Property,900.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 86,0.5,2.0,2.0,1,Relatively New,578.0,0.0,0.0,0.0,Low,Mid Floor
flat,sohna road,1.35,3.0,3.0,3,New Property,2444.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 54,11.0,4.0,5.0,3+,Relatively New,3444.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 63,3.0,3.0,3.0,3,New Property,2000.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 70,1.55,3.0,5.0,3,Relatively New,1527.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 104,1.75,3.0,4.0,3+,Relatively New,2072.0,1.0,0.0,0.0,Medium,High Floor
house,sector 10,4.25,4.0,3.0,2,Moderately Old,2367.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 5,0.25,2.0,2.0,2,Relatively New,778.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 79,1.95,3.0,4.0,3+,New Property,1659.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 48,3.3,5.0,5.0,3+,Old Property,3305.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 2,0.75,2.0,2.0,2,Old Property,1100.0,0.0,0.0,1.0,Low,High Floor
flat,sector 37d,1.1,3.0,3.0,3,Relatively New,1990.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 70,1.6,3.0,5.0,3,Relatively New,1527.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 26,31.5,7.0,9.0,3+,Moderately Old,9000.0,1.0,1.0,2.0,Medium,Mid Floor
flat,sector 107,0.9,2.0,2.0,3,Relatively New,1281.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 37d,1.78,4.0,3.0,3,Relatively New,1983.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 102,1.8,3.0,3.0,3,Relatively New,1531.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 70a,1.69,3.0,3.0,3+,New Property,1900.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 67,3.39,3.0,4.0,3,Relatively New,2100.0,1.0,0.0,1.0,Low,High Floor
flat,sector 89,0.42,2.0,2.0,2,Relatively New,769.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 102,1.78,3.0,4.0,3+,Moderately Old,1748.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.25,2.0,2.0,1,Relatively New,587.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 106,1.25,3.0,4.0,3+,Relatively New,1186.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 109,1.26,3.0,2.0,3,Relatively New,1701.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 54,1.59,3.0,3.0,3+,Moderately Old,2250.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 83,1.8,3.0,4.0,3,Relatively New,1551.0,1.0,1.0,1.0,High,Mid Floor
house,sector 14,6.46,5.0,5.0,2,Moderately Old,3420.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 79,1.3,2.0,2.0,2,Relatively New,1330.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 84,1.5,3.0,3.0,3,New Property,1849.0,1.0,0.0,0.0,Medium,Low Floor
house,sector 105,1.2,4.0,4.0,1,Moderately Old,900.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 63a,2.2,2.0,3.0,3+,Under Construction,997.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 67a,0.6,2.0,2.0,2,New Property,633.0,0.0,0.0,0.0,Low,High Floor
flat,sector 58,3.8,3.0,4.0,1,Moderately Old,2164.0,1.0,0.0,1.0,High,High Floor
flat,sector 70,0.99,3.0,4.0,2,Under Construction,1416.0,0.0,0.0,0.0,Low,High Floor
flat,sector 79,1.3,3.0,3.0,2,Relatively New,1215.0,0.0,0.0,0.0,High,Mid Floor
flat,sector 51,0.71,2.0,2.0,1,Relatively New,1007.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 37d,1.0,3.0,3.0,3+,Moderately Old,1602.0,0.0,0.0,0.0,Low,High Floor
flat,sector 61,1.6,2.0,2.0,2,New Property,1278.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 88a,1.29,3.0,3.0,3,New Property,1642.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 68,1.0,2.0,2.0,2,New Property,1311.0,0.0,0.0,0.0,Medium,High Floor
house,sector 8,0.82,2.0,4.0,0,Moderately Old,891.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 104,2.45,3.0,4.0,3+,Relatively New,2131.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 83,1.76,3.0,3.0,3,Relatively New,1500.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 74,1.6,2.0,2.0,2,New Property,1272.0,0.0,0.0,0.0,Low,High Floor
house,sohna road,0.95,3.0,10.0,3+,New Property,1065.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 109,0.79,3.0,2.0,2,Relatively New,1213.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 86,1.3,4.0,6.0,2,New Property,2521.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 74,2.25,3.0,3.0,3,Relatively New,1900.0,0.0,0.0,0.0,High,Mid Floor
flat,sohna road,0.65,2.0,2.0,3,New Property,822.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 81,0.75,2.0,2.0,2,Moderately Old,1397.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 69,3.1,4.0,6.0,3+,Relatively New,2817.0,1.0,0.0,0.0,High,High Floor
flat,sector 72,4.1,3.0,3.0,3,Moderately Old,2308.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 102,1.98,3.0,3.0,3+,Relatively New,2222.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 65,2.44,3.0,3.0,2,Under Construction,1654.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 12,0.72,2.0,2.0,1,Relatively New,1100.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 66,2.99,3.0,3.0,3,Relatively New,2000.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 37d,1.49,3.0,3.0,3,Relatively New,1707.0,0.0,0.0,0.0,Low,High Floor
flat,sector 69,2.6,4.0,4.0,3+,Moderately Old,2172.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 65,2.0,3.0,3.0,3,Relatively New,1833.0,1.0,0.0,1.0,Medium,Low Floor
house,sector 52,5.5,9.0,9.0,3+,Moderately Old,2700.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 37,0.4,2.0,2.0,2,New Property,667.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 90,0.92,3.0,3.0,2,Relatively New,2167.0,0.0,0.0,1.0,Low,Mid Floor
flat,gwal pahari,1.53,3.0,3.0,3,New Property,1589.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 106,0.88,2.0,2.0,3+,Relatively New,1120.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 102,1.9,3.0,3.0,3+,Relatively New,2500.0,1.0,0.0,0.0,High,Low Floor
house,sector 46,5.65,8.0,6.0,3+,Moderately Old,2367.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 93,0.4,2.0,2.0,0,Relatively New,730.0,0.0,0.0,0.0,Low,Low Floor
house,sector 24,5.25,4.0,4.0,3+,Relatively New,1350.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 67,3.05,3.0,4.0,2,Relatively New,2200.0,1.0,0.0,1.0,High,High Floor
flat,sector 74,1.6,2.0,2.0,2,Relatively New,1508.0,0.0,0.0,1.0,High,High Floor
house,sector 54,3.51,4.0,4.0,3,New Property,2844.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 10,3.6,3.0,4.0,3,Moderately Old,1836.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 79,1.1,2.0,2.0,3,New Property,81.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 107,1.02,2.0,2.0,3,Relatively New,1388.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 81,0.95,2.0,2.0,2,Relatively New,1260.0,0.0,0.0,1.0,High,High Floor
flat,sohna road,0.55,2.0,2.0,3,Relatively New,913.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 89,1.25,3.0,3.0,3,Under Construction,1288.0,0.0,0.0,0.0,Low,Low Floor
house,sector 4,0.92,1.0,4.0,3,Moderately Old,603.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 90,0.65,2.0,2.0,3,Relatively New,1222.0,0.0,0.0,0.0,Medium,Mid Floor
