title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
Saheb Biwi Aur Gangster 3,tt7695014,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Saheb%2C_Biwi_Aur_Gangster_3_-_Poster.jpg/220px-Saheb%2C_Biwi_Aur_Gangster_3_-_Poster.jpg,https://en.wikipedia.org/wiki/Saheb_Biwi_Aur_Gangster_3,Saheb Biwi Aur Gangster 3,Saheb Biwi Aur Gangster 3,0,2018,140,Action|Crime|Drama,4.3,631,The royal saga of deceit  conspiracy  greed and lust continues in the third installment of the series  as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.,The royal saga of deceit  conspiracy  greed and lust continues in the third installment of the series  as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.,,Sanjay Dutt|Jimmy Sheirgill|Mahie Gill|Chitrangda Singh|Kabir Bedi|Deepak Tijori|Pamela Singh Bhutoria|Soha Ali Khan|Nafisa Ali|Deep Raj Rana|Zakir Hussain|Manas Thakkar|Rishina Kandhari|Kanika Dang|,,27 July 2018 (USA)
Nawabzaade,tt8060624,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Nawabzaade_Poster.jpg/220px-Nawabzaade_Poster.jpg,https://en.wikipedia.org/wiki/Nawabzaade,Prince's Son,Nawabzaade,0,2018,112,Comedy|Romance,4.7,748,Three best friends fall in love with a simple  stay-at-home girl from their neighbourhood. As they all go out of their way to win her love  they are pitted against each other in their efforts.,Three best friends fall in love with a simple  stay-at-home girl from their neighbourhood. As they all go out of their way to win her love  they are pitted against each other in their efforts.,,Dharmesh Yelande|Punit Pathak|Raghav Juyal|Isha Rikhi|,,27 July 2018 (India)
Mulk (film),tt7618184,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Mulk_-_2018_Movie_Poster.jpg/220px-Mulk_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Mulk_(film),Mulk,Mulk,0,2018,140,Drama,6.7,12123,One family member tries to help her own family which are trapped in a dark controversy.,One family member tries to help her own family which are trapped in a dark controversy.,,Taapsee Pannu|Rishi Kapoor|Prateik|Ashutosh Rana|Neena Gupta|Ashrut Jain|Simran Nisha|,2 wins & 14 nominations,3 August 2018 (USA)
Brij Mohan Amar Rahe,tt6514010,,https://en.wikipedia.org/wiki/Brij_Mohan_Amar_Rahe,Long Live Brij Mohan,Brij Mohan Amar Rahe,0,2017,105,Comedy|Crime|Drama,7.0,2533,Brij Mohan (36)  a hosiery shop owner in a busy Delhi market  desperately wants to change his life. He is fed up of his ball-crusher wife and mounting debts. In order to escape his wretched life  he changes his appearance and adopts a new identity as Amar Sethi  but ends up committing a botched up murder. He runs off with his young girlfriend  hopeful of making a new beginning. Instead  as luck would have it  he finds himself trapped in a web of his own Karma.,A man fakes his own death. Unfortunately for him  starting a new life with a new identity will only bring him more problems.,Karma is a B*tch,Arjun Mathur|Nidhi Singh|Sheetal Thakur|Manav Vij|Aanchal Chauhan|Sunny Hinduja|Vijayant Kohli|Yogendra Tiku|Lokesh Mittal|Jitendra Gupta|,,3 August 2018 (USA)
Karwaan,tt7919680,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Karwaan_-_Movie_Poster.jpg/220px-Karwaan_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Karwaan_(film),Karwaan,Karwaan,0,2018,114,Comedy|Drama,7.5,9436,The movie depicts a journey carried out from Bangalore to Kochi by two friends  the reserved Avinash played by Dulquer Salmaan  and his friend Shaukat played by Irrfan Khan with a lighter take on life  who pick up the chirpy teenager Mithila on the way.,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,,Irrfan Khan|Dulquer Salmaan|Mithila Palkar|Amala Akkineni|Akash Khurana|Kriti Kharbanda|Donna Munshi|Abir Abrar|Beena Banerjee|Siddharth Menon|Adrika Shetty|Sameer Saxena|Kallirroi Tziafeta|Richard John Lovatt|,2 nominations,3 August 2018 (USA)
Gold (2018 film),tt6173990,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Gold_2018_poster.jpg/180px-Gold_2018_poster.jpg,https://en.wikipedia.org/wiki/Gold_(2018_film),Gold,Gold,0,2018,151,Drama|History|Sport,7.3,10081,Tapan Das manager of Gold winning Indian hockey team during British rule dreams of bringing Gold medal to the country post Independence.India is nearing Independence and Tapan finds news of 1948 Olympics. Tapan prepares his own team for the upcoming Olympics.But during the partition team also gets divided along with the country.,The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,,Akshay Kumar|Mouni Roy|Kunal Kapoor|Amit Sadh|Viineet Kumar|Sunny Kaushal|Nikita Dutta|Andrew Havill|Manjit Singh|Christopher James Burton|Kumud Pant|Varun Raj|Sam Succoi|Bhawsheel Sahni|,3 wins & 3 nominations,15 August 2018 (USA)
Satyameva Jayate (2018 film),tt8202612,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Satyameva_Jayate_-_2018_Movie_Poster.jpg/220px-Satyameva_Jayate_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Satyameva_Jayate_(2018_film),Satyameva Jayate,Satyameva Jayate,0,2018,140,Action|Thriller,5.6,5446,"There are about 2 Lakh policemen in Mumbai. Tasked with the safety of this enormous city  a majority of them don't necessarily have the ""cleanest"" of vardis. When four such police inspectors are burnt alive in a series of merciless killings  the entire police force is rocked with terror. The media is looking for answers. The public is on the fence over these killings. These crimes reflect Vir as a person. Bold  Calculating  and Unapologetic. He's not scared of killing  or dying. It was clear that he had an agenda. A reason. A drive; behind these deaths and he was far from done. Fearing the next attack  the Commissioner calls upon their best bet to catch Vir. DCP Shivansh is what a proper policeman looks like. Strong  Courageous  Patriotic and most importantly  ""Clean."" And of course  he's the best at what he does. What follows is a succession of events that will test his Probity to the fullest. He is up against Vir  who is a vigilante and will stop at nothing to complete his mission. ...",DCP Shivansh has been tasked to catch Vir  the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line  the law.,Beimaan pitega| corruption mitega!,John Abraham|Manoj Bajpayee|Aisha Sharma|Amruta Khanvilkar|Manish Chaudhary|Myrah Dandekar|Devdutta Nage|Nora Fatehi|,5 nominations,15 August 2018 (USA)
Happy Phirr Bhag Jayegi,tt7881542,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Happy_Phirr_Bhag_Jayegi_poster.jpg/220px-Happy_Phirr_Bhag_Jayegi_poster.jpg,https://en.wikipedia.org/wiki/Happy_Phirr_Bhag_Jayegi,Happy Phirr Bhag Jayegi,Happy Phirr Bhag Jayegi,0,2018,136,Comedy,4.5,974,When Professor Harpreet Kaur lands in Shanghai  the last thing she would have on her mind is getting kidnapped. A crazy comedy of errors unrolls as the 'Happy' gang - Bagga  Guddu  Happy and Usmaan Miyaan - navigate through China while Harpreet  aka Happy is caught in the crosshairs.,When Professor Harpreet Kaur lands in Shanghai  the last thing she would have on her mind is getting kidnapped. A crazy comedy of errors unrolls as the 'Happy' gang - Bagga  Guddu  Happy ...                    ,,Sonakshi Sinha|Diana Penty|Jimmy Sheirgill|Ali Fazal|Piyush Mishra|Jassie Gill|Denzil Smith|Jason Tham|Bijou Thaangjam|Jeeveshu Ahluwalia|Gaurav Dixit|Ashu Sharma|,2 nominations,24 August 2018 (USA)
Genius (2018 Hindi film),tt7722258,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Genius_official_poster.jpg/220px-Genius_official_poster.jpg,https://en.wikipedia.org/wiki/Genius_(2018_film),Genius,Genius,0,2018,165,Action|Thriller,4.6,803,An orphan  with a brilliant mind  joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death  he can't live in peace with his love. So  he hatches a genius plan.,An orphan  with a brilliant mind  joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death  he can't live in peace with his love. So  he hatches a genius plan.,Dil Ki Ladaai Dimaag Se,Utkarsh Sharma|Ishita Chauhan|Mithun Chakraborty|Ayesha Jhulka|Nawazuddin Siddiqui|,,24 August 2018 (India)
Yamla Pagla Deewana: Phir Se,tt7609114,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Yamla_Pagla_Deewana_-_Phir_Se_-_2018_Movie_Poster.jpg/220px-Yamla_Pagla_Deewana_-_Phir_Se_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Yamla_Pagla_Deewana:_Phir_Se,Yamla Pagla Deewana Phir Se...,Yamla Pagla Deewana Phir Se...,0,2018,145,Action|Comedy,4.8,887,Inheriting from the ancestors  the legacy of the Ayurveda panacea 'Vajrakavach'  a famed and effective remedy for all ills  the brother duo Pooran and Kaala use the kavach with varied intentions. While Pooran who is good-hearted puts in use his heritage to help people  Kaala looks out for his interest in money. Parmar  an erstwhile Casanova and a colorful character who is also a sharp and intelligent lawyer of repute  is the paying guest in the brothers' house. He is a thorn in Kaala's side  as he is paying the same rent for 35 years  that is of 125 rupees. Adding to the Punjabi mix  Chikoo is a pretty Gujarati girl  who steals Kaala's heart and brings a sinister twist to the tale.,An upright Ayurveda practitioner is hounded by big pharmacy giants for his age-old formula that cures everything.,,Dharmendra|Sunny Deol|Bobby Deol|Kriti Kharbanda|Asrani|Satish Kaushik|Binnu Dhillon|,,31 August 2018 (USA)
Stree (2018 film),tt8108202,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Stree_-_2018_Movie_Poster.jpg/220px-Stree_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Stree_(2018_film),Stree,Stree,0,2018,128,Comedy|Horror,7.7,22671,Chanderi village is haunted for years by a witch whose called as Stree. She abducts men in dark leaving their clothes behind during the four day annual festival. Vicky young and handsome village tailor disbelief's these stories. He meets an Unnamed women whose in the village every year during the festival. Vicky and the women start getting close to each other. But his friends Jaana and Bitu get suspicious that till date only Vicky has seen the women and believe that she could be Stree.,"In the small town of Chanderi  the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",,Rajkummar Rao|Shraddha Kapoor|Pankaj Tripathi|Aparshakti Khurana|Abhishek Banerjee|Ram Kishan Dhakad|Atul Srivastava|Vijay Raaz|Aakash Dabhade|Nora Fatehi|Kriti Sanon|Flora Saini|,10 wins & 19 nominations,31 August 2018 (USA)
Paltan (film),tt7162758,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Paltan_2018.jpg/220px-Paltan_2018.jpg,https://en.wikipedia.org/wiki/Paltan_(film),Paltan,Paltan,0,2018,150,Action|Drama|History,5.2,729,An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.,An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.,,Jackie Shroff|Arjun Rampal|Sonu Sood|Gurmeet Choudhary|Abdul Quadir Amin|Siddhant Kapoor|Harshvardhan Rane|Luv Sinha|Abhilash Chaudhary|Esha Gupta|Bijou Thaangjam|Sonal Chauhan|Monica Gill|Dipika Kakar|,1 nomination,7 September 2018 (India)
Laila Majnu (2018 film),tt8011276,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Laila_Majnu_2018.jpg/220px-Laila_Majnu_2018.jpg,https://en.wikipedia.org/wiki/Laila_Majnu_(2018_film),Laila Majnu,Laila Majnu,0,2018,140,Drama|Romance,7.7,1633,Taking the leap out of the classic folklore  the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.,Taking the leap out of the classic folklore  the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.,,Avinash Tiwary|Tripti Dimri|Sumit Kaul|Abrar Qazi|Sahiba Bali|Mir Sarwar|Benjamin Gilani|Parmeet Sethi|Farhana Bhat|Shagufta Ali|Sujata Sehgal|Vasundhara Kaul|Zameer Ashai|Shahid Gulfam|,1 win & 1 nomination,7 September 2018 (India)
Gali Guleiyan,tt2302416,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Gali_Guliyan_Poster.jpg/220px-Gali_Guliyan_Poster.jpg,https://en.wikipedia.org/wiki/Gali_Guleiyan,In the Shadows,Gali Guleiyan,0,2017,117,Drama|Thriller,7.1,314,In the walled city of Old Delhi  KHUDDOOS  a lonely man who obsessively watches people through his hidden cameras begins a search for a boy he hears getting beaten up through the walls of his house. The obsession to find the boy taking over the man and the boy's condition going from bad to worse  the man starts to lose grip of time and reality. The story of a man trapped within the walls of an old city and his attempts to break free and to find a human connection.,The film is a psychological drama about a man who is trapped within the city walls and in his own mind. He attempts to break free to find a human connection.,,Manoj Bajpayee|Ranvir Shorey|Neeraj Kabi|Shahana Goswami|Om Singh|Arbaaz Khan|Shruti Sharma|Ashwath Bhatt|Robin Das|Durga Sharma Shrivastva|,2 wins & 10 nominations,7 September 2018 (India)
Halkaa,tt8136908,,https://en.wikipedia.org/wiki/Halkaa,Halkaa,Halkaa,0,2018,114,Drama|Family,7.2,271,Halkaa is a story of an eight-year-old boy Pichku who lives in the oldest slums of Delhi and aspires for a better life. It is a story of a child who against all odds strives to achieve his goal and becomes a hero in the making for his parents  slum  and society. This is the maiden production of Shiv Nadar Foundation in association with Akshay Kumar Parija and Nila Madhab Panda and Supratik Roy is the associate producer.,Halkaa (Relief) is a unique take on a slum child's heroism  aspirations and dreams. The child protagonist  Pichku fights for the basic problem that he faces everyday; defecating in the open among others.,,Paoli Dam|Vipin Katyal|Ranvir Shorey|Tathastu|,,7 September 2018 (India)
Pataakha,tt8396128,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Pataakha_poster.jpg/220px-Pataakha_poster.jpg,https://en.wikipedia.org/wiki/Pataakha,Pataakha,Pataakha,0,2018,134,Action|Comedy|Drama,7.2,2931,"Based on Charan Singh Pathik's short story Do Behnein  Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.","Based on Charan Singh Pathik's short story Do Behnein  Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.",,Sanya Malhotra|Radhika Madan|Sunil Grover|Vijay Raaz|Namit Das|Abhishek Duhan|Saanand Verma|Usha Nagar|Dev Rajora|,1 win & 8 nominations,28 September 2018 (USA)
Batti Gul Meter Chalu,tt7720922,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Batti_Gul_Meter_Chalu_Poster.jpg/220px-Batti_Gul_Meter_Chalu_Poster.jpg,https://en.wikipedia.org/wiki/Batti_Gul_Meter_Chalu,Batti Gul Meter Chalu,Batti Gul Meter Chalu,0,2018,161,Drama,6.1,4169,S.K  Nauti  and Tripathi are childhood friends. S.K is a hypocrite  mean lawyer making money from out of court settlements. Nauti is an over the top fashion designer who thinks highly of herself. Things were breezy until Tripathi opens a small town Printing Press. Within months  he is charged with an Inflated electricity bill of 1.5 Lakhs  which escalates to 54 Lakhs in the following months. With no where to go and complain  Tripathi commits suicide. S.K is set aback by the events and has a change of heart. He decides to fight out against SPTL   a Privatised Electricity Company responsible for the Inflated Bills. He has Advocate Gulnaar representing SPTL as his opponent.. Whether or not he is able to sue the company forms the rest of the story.,The life of three friends takes a tragic turn due to an inflated electricity bill  which leads to a courtroom drama and social awakening.,What happens when there is no electricity and the bills keep coming on ?,Shahid Kapoor|Shraddha Kapoor|Divyendu Sharma|Yami Gautam|Sushmita Mukherjee|Samir Soni|Ashrut Jain|,,21 September 2018 (USA)
Love Sonia,tt3823392,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Love_Sonia_-_Poster.jpg/220px-Love_Sonia_-_Poster.jpg,https://en.wikipedia.org/wiki/Love_Sonia,Love Sonia,Love Sonia,0,2018,122,Drama,7.4,1048,Inspired by real life events  Love Sonia is the story of a young girl's journey to rescue her sister from the dangerous world of international sex trafficking.,Inspired by real life events  Love Sonia is the story of a young girl's journey to rescue her sister from the dangerous world of international sex trafficking.,,Abhishek Bharate|Riya Sisodiya|Mrunal Thakur|Adil Hussain|Kiran Khoje|Saroj Sharma|Bhavik Jain|Sonali Jain|Rahul Goyal|Sai Tamhankar|D.P. Singh|Anupam Kher|Nikita Aggarwal|Ankur Vikal|,1 nomination,14 September 2018 (India)
Manto (2018 film),tt6923462,https://upload.wikimedia.org/wikipedia/en/d/dc/Manto_film_poster_2017.jpg,https://en.wikipedia.org/wiki/Manto_(2018_film),Manto,Manto,0,2018,112,Biography|Drama,7.4,2947,The film follows the most tumultuous four years in the life of Manto and that of the two countries he inhabits - India and Pakistan. In Bombay's seedy-shiny film world  Manto and his stories are widely read and accepted. But as sectarian violence engulfs the nation  Manto makes the difficult choice of leaving his beloved Bombay. In Lahore  he finds himself bereft of friends and unable to find takers for his writings. His increasing alcoholism leads him into a downward spiral. Through all of this  he continues to write prolifically  without dilution. This is the tale of two emerging nations  two faltering cities  and one man who tries to make sense of it all.,The film is a biographical account of writer Saadat Hasan Manto's life and is set in 1940s India.,,Nawazuddin Siddiqui|Rasika Dugal|Tahir Raj Bhasin|Nazma Ali Shaikh|Ashwini Giri|Neeraj Sood|Purab Kohli|Swanand Kirkire|Chittaranjan Tripathy|Vihaan Das Maskara|Nishith Dadhich|Sunil Kamath|Priyanka Misal|Suhas Joshi|,3 wins & 8 nominations,21 September 2018 (India)
Ishqeria,tt2802062,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Ishqeria_-_2018_Movie_Poster.jpg/220px-Ishqeria_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Ishqeria,Ishqeria,Ishqeria,0,2018,118,Comedy|Romance,4.2,139,When Kuhoo  a small town girl from an all girls school joins a hip co-ed university  a true behenji  who thinks herself as the queen of fashion  sees Raghav for the first time  she knows she's going to marry him and have his kids!. The problem? He doesn't seem to even see her!. Her gang of girlfriends plot to make Raghav fall madly in love with Kuhoo. What ensues is hilarious attempts at wooing  getting a behenji to turn mod and a love story that will make you relive your college days.,Ishqeria is a story of a small town girl who falls madly in love with the most sought after guy in college. It is a journey of first love  growing up and second chances.,,Manish Anand|Raj Babbar|Richa Chadha|Juby Devasia|Lata Gandi|Gurbani|Bikramjeet Kanerwal|Mustaq Khan|Ehsaas Madan|Neil Nitin Mukesh|Rajni Nayyar|Sanaya Pithawalla|Mrudula Sathe|Mrinalini Sharma|,,21 September 2018 (India)
Manmarziyaan,tt5474036,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Manmarziyaan_official_poster.jpg/220px-Manmarziyaan_official_poster.jpg,https://en.wikipedia.org/wiki/Manmarziyaan,Manmarziyaan,Manmarziyaan,0,2018,156,Romance,6.9,5754,Rumi and Vicky are love birds where Rumi convinces her parents to let her marry her love  while Vicky is commitment phobic. In comes Robbie  a much well-settled NRI who falls for Rumi. Whom will she decide to settle down with forms the rest of the film.,A love triangle between a spirited young woman  her outgoing boyfriend and a fiance who's husband material.,,Taapsee Pannu|Abhishek Bachchan|Vicky Kaushal|Jasmin Bajwa|Ashnoor Kaur|Swairaj Sandhu|Neelu Kohli|Poonam Shah|Priyanka Shah|Sukhmani Sadana|Saurabh Sachdeva|Arshpreet Singh|,3 wins & 11 nominations,14 September 2018 (USA)
Mitron,tt8852558,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Mitron_poster.jpg/220px-Mitron_poster.jpg,https://en.wikipedia.org/wiki/Mitron,Mitron,Mitron,0,2018,119,Comedy,6.9,1820,"Jai ""Jackky Bhagnani""  born and brought up with middle-class values  has a 'take it easy' approach to life. Since he doesn't believe in a herd mentality  he and his two best friends  Raunak ""Pratik Gandhi"" and Deepu ""Shivam Parekh"" start looking for unique ways to make it big in the world. During this trial and error phase  Jai realizes his dream. But his decision of choosing an unprofitable career path doesn't go down too well with his father ""Neeraj Sood""  who has bigger aspirations for him. Therefore  in order to bring stability to his life  his father decides to get him married. Destiny  however  has something else in store for Jai  when he accidentally meets Avni ""Kritika Kamra""  an ambitious  MBA graduate  who wants to start her own business. Set in the backdrop of the Gujarati milieu  the film traces Jai and Avni's personal journey  as they both find themselves and discover the true meaning of friendship in the bargain",In order to bring stability in Jai's life  his father decides to get him married. However  fate has other plans.,,Jackky Bhagnani|Kritika Kamra|Prateik|Perlene Bhersaina|Rishi Panchal|Neha Reddy|,1 nomination,14 September 2018 (India)
Sui Dhaaga,tt7147540,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Sui_Dhaaga_New_Poster.jpg/220px-Sui_Dhaaga_New_Poster.jpg,https://en.wikipedia.org/wiki/Sui_Dhaaga,Made in India,Sui Dhaaga: Made in India,0,2018,122,Comedy|Drama,6.8,5850,"A heartwarming story of pride and self reliance  which finds its roots in the heart of India and reflects the passion that runs through the veins of every single Indian. Taking the message of ""Made in India"" forward  the film modestly tries to bring back our traditional art forms and handicrafts in focus. The film is helmed by National award winning Producer - Director Duo of Maneesh Sharma and Sharat Katariya ""Dum Laga Ke Haisha"" and features Varun Dhawan and Anushka Sharma in the lead roles. Through the hero and his wife  film talks about the need of social entrepreneurship as a tool for social and economic development of our artisans  living their life in the margins due to the changing times. Set in a small town in India  the film encapsulates the journey of an honest man from a humble background  who pursues his passion  overcoming all odds and soon finds himself on the cover of an international magazine with the world taking note and appreciating his talent. A clean family ...",An unemployed small-town man defies all odds and naysayers and starts his own garment business.,,Anushka Sharma|Varun Dhawan|Raghuvir Yadav|Ashish Verma|Siddharth Bhardwaj|Komal Chhabria|Namit Das|Anirban Bhattacharyya|Jeetendra Shastri|Komal Singh|Priyanka Arya|Sidharth Bhardwaj|Yamini Das|Mahesh Sharma|,1 win & 11 nominations,28 September 2018 (USA)
Baazaar,tt6514196,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Baazaar_-_Poster.jpg/220px-Baazaar_-_Poster.jpg,https://en.wikipedia.org/wiki/Baazaar,Baazaar,Baazaar,0,2018,137,Crime|Drama|Thriller,6.6,3859,After moving to Mumbai  an ambitious young man becomes the stock trader for a notorious businessman.,After moving to Mumbai  an ambitious young man becomes the stock trader for a notorious businessman.,,Radhika Apte|Saif Ali Khan|Chitrangda Singh|Danish Husain|Denzil Smith|Pawan Chopra|Manish Chaudhary|Rohan Vinod Mehra|Karan Singh Chhabra|Mukesh Hariawala|Sahil Sangha|Mayur Bansiwal|Sonia Balani|Sai Gundewar|,2 nominations,26 October 2018 (USA)
Jalebi (film),tt8426854,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Jalebi_Movie_poster.jpg/220px-Jalebi_Movie_poster.jpg,https://en.wikipedia.org/wiki/Jalebi_(film),Jalebi,Jalebi,0,2018,112,Drama,6.3,1598,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,The Everlasting Taste of Love,Rhea Chakraborty|Varun Mitra|Digangana Suryavanshi|Arya Poorti|Mahesh Thakur|,,12 October 2018 (India)
FryDay,tt7526836,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/FryDay.jpg/220px-FryDay.jpg,https://en.wikipedia.org/wiki/FryDay,FryDay,FryDay,0,2018,114,Comedy,5.4,658,Rajiv  a struggling water purifier salesman  after a long chase  is able to bag a client Gagan Kapoor and fix him for an appointment on a Friday. However  he finds himself caught up in a tricky situation when he arrives at Kapoor's house and catches Kapoor cheating on his wife Bela with another woman Bindu.,A desperate salesman Rajiv (Varun Sharma) is on the brink of losing his job at a water purifying company and asked to leave if he fails to sell at least one purifier by Friday. But  Rajiv finds himself in the middle of a marital mess when a seasoned ex-salesman Manchanda (Sanjay Mishra) puts him in touch with a quirky couple.,,Govinda|Varun Sharma|Sanjay Mishra|Rajesh Sharma|Digangana Suryavanshi|Prabhleen Sandhu|,,12 October 2018 (India)
Tumbbad,tt8239946,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Tumbbad_poster.jpg/220px-Tumbbad_poster.jpg,https://en.wikipedia.org/wiki/Tumbbad,Tumbbad,Tumbbad,0,2018,104,Drama|Fantasy|Horror,8.2,16535,Set in Tumbbad in the 1920s  the story revolves around the three generations of a family facing the consequences when they build a temple for the first-born of a goddess  named Hastar--he who must not be worshiped. Hastar is a terrible entity who can curse a person yet also can grant gold coins. And the story put emphasis on human nature and the never ending greed. The myth of Hastar is  when the Goddess of Prosperity created the world she gave birth to Hastar followed by 16 Crore Gods and Goddesses. Hastar being her first born was her favorite child  but Hastar was very greedy. When the Goddess of Prosperity offered Hastar the ownership of all the gold in the universe or all the food  he took the gold as well as tried to take over the food in his greed fighting with his brothers and sisters. The 16 crore gods and goddesses overpowered Hastar and when they tried to kill him  the Goddess of Prosperity intervened and begged for his life. The 16 crore gods and goddesses accepted her ...,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,,Sohum Shah|Jyoti Malshe|Anita Date|Ronjini Chakraborty|Deepak Damle|,9 wins & 12 nominations,12 October 2018 (India)
Helicopter Eela,tt8427036,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Helicopter_Eela.jpg/220px-Helicopter_Eela.jpg,https://en.wikipedia.org/wiki/Helicopter_Eela,Helicopter Eela,Helicopter Eela,0,2018,135,Drama,5.5,796,Eela is an aspiring playback singer and single mother. She has given up all her dreams to raise her only son. But now her baby son 'Vivan' is all grown up and being a typical young millennial  doesn't want his mother's life to revolve around him. But being an over protective mother  Eela has other ideas and joins her son's college to spend more time with him. Unfortunately her plans backfire and she suffers a backlash from Vivan for invading his privacy. Will Helicopter Eela manage to salvage her relationship with Vivan and find her calling again?,Eela is an aspiring playback singer and single mother. She has given up all her dreams to raise her only son. But now her baby son 'Vivan' is all grown up and being a typical young ...                    ,She's here| She's there| She's everywhere!!!,Kajol|Riddhi Sen|Tota Roy Chowdhury|Neha Dhupia|,,12 October 2018 (USA)
Namaste England,tt7607940,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Namaste_England_poster.jpg/220px-Namaste_England_poster.jpg,https://en.wikipedia.org/wiki/Namaste_England,Namaste England,Namaste England,0,2018,141,Comedy|Drama|Romance,1.7,2237,An Indian couple go to great lengths to move to London  England.,An Indian couple go to great lengths to move to London  England.,,Arjun Kapoor|Parineeti Chopra|Atul Sharma|Aditya Seal|Joakim Skarli|Sammy John Heaney|Shreya Mehta|Vaunisha Kapoor|Sonia Goswami|Hiten Patel|Satish Kaushik|Manoj Anand|Katie Iqbal|Alankrita Sahai|,,19 October 2018 (USA)
Andhadhun,tt8108198,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Andhadhun_poster.jpg/220px-Andhadhun_poster.jpg,https://en.wikipedia.org/wiki/Andhadhun,Andhadhun,Andhadhun,0,2018,139,Crime|Thriller,8.4,51615,Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.,A series of mysterious events changes the life of a blind pianist  who must now report a crime that he should technically know nothing of.,,Ayushmann Khurrana|Tabu|Radhika Apte|Anil Dhawan|Manav Vij|Ashwini Kalsekar|Chhaya Kadam|Zakir Hussain|Rashmi Agdekar|Abhishek Shukla|Mohini Kewalramani|Nikitasha Kapoor|Saumin Patel|Hera Sajid|,24 wins & 25 nominations,5 October 2018 (USA)
