movie,lead
Heroine (2012 film),Kareena Kapoor
Chal Pichchur Banate Hain,Sagar Bhangade
Kismat Love Paisa Dilli,Vivek Oberoi
Jeena Hai Toh Thok Daal,Ravi Kishan
OMG – Oh My God!,Paresh Rawal
Aiyyaa,Rani Mukerji
Chittagong (film),Manoj Bajpayee
Bhoot Returns,J.D. Chakravarthi
Delhi Safari,Cary Elwes
Chakravyuh (2012 film),Arjun Rampal
Student of the Year,Alia Bhatt
Ajab Gazabb Love,Jackky Bhagnani
Rush (2012 film),Emraan Hashmi
1920: The Evil Returns,Vicky Ahuja
Sons of Ram,Sunidhi Chauhan
Ata Pata Laapata,Asrani
Jab Tak Hai Jaan,Shah Rukh Khan
Talaash: The Answer Lies Within,Aamir Khan
Login (film),Himanshu Bhatt
Son of Sardaar,Ajay Devgn
Cigarette Ki Tarah,Ashok Banthia
Dabangg 2,Salman Khan
Players (2012 film),Vinod Khanna
Housefull 2,Akshay Kumar
Bol Bachchan,Amitabh Bachchan
English Vinglish,Sridevi
Impatient Vivek,Vivek Sudershan
Yamla Pagla Deewana,Nafisa Ali
Mumbai Mast Kallander,Mohsin
Dhobi Ghat (film),Prateik
Turning 30,Gul Panag
Hostel (2011 film),Vatsal Sheth
Dil Toh Baccha Hai Ji,Ajay Devgn
United Six,Russell Geoffrey Banks
Utt Pataang,Vinay Pathak
Patiala House (film),Rishi Kapoor
7 Khoon Maaf,Priyanka Chopra
Tanu Weds Manu,Madhavan
F.A.L.T.U,Arshad Warsi
Memories in March,Deepti Naval
Thank You (2011 film),Akshay Kumar
Angel (2011 film),Sumit Arora
Happy Husbands (2011 film),Anay
Teen Thay Bhai,Om Puri
Dum Maaro Dum (film),Abhishek Bachchan
Shor in the City,Sendhil Ramamurthy
Zokkomon,Darsheel Safary
Chalo Dilli,Vinay Pathak
Aashiqui.in,Ishaan Manhaas
Satrangee Parachute,Sanjay Mishra
Monica (film),Ashutosh Rana
I Am (2010 Indian film),Juhi Chawla
Naughty @ 40,Govinda
Haunted – 3D,Mimoh Chakraborty
Love U...Mr. Kalakaar!,Tusshar Kapoor
Ragini MMS,Kainaz Motivala
Stanley Ka Dabba,Partho A. Gupte
Shagird (2011 film),Nana Patekar
404 (film),Sara Arjun
Shaitan (film),Kalki Koechlin
Pyaar Ka Punchnama,Kartik Aaryan
Bheja Fry 2,Vinay Pathak
Always Kabhi Kabhi,Lillete Dubey
Double Dhamaal,Sanjay Dutt
Bbuddah... Hoga Terra Baap,Amitabh Bachchan
Delhi Belly (film),Imran Khan
Murder 2,Emraan Hashmi
Chillar Party,Aarav Khanna
Zindagi Na Milegi Dobara,Hrithik Roshan
Dear Friend Hitler,Raghuvir Yadav
I Am Kalam,Gulshan Grover
Bin Bulaye Baraati,Naushaad Abbas
Kucch Luv Jaisaa,Shefali Shah
Singham,Ajay Devgn
Khap (film),Rahul Jaiswal
Bubble Gum (film),Apoorva Arora
Shabri,Isha Koppikar
Phhir,Rajniesh Duggall
Aarakshan,Amitabh Bachchan
Chatur Singh Two Star,Sanjay Dutt
Sahi Dhandhe Galat Bande,Anupam Kher
Bodyguard (2011 Hindi film),Salman Khan
Yeh Dooriyan,Deepshika Nagpal
Not a Love Story (2011 film),Deepak Dobriyal
Hum Tum Shabana,Tusshar Kapoor
Mummy Punjabi,Kiron Kher
Mere Brother Ki Dulhan,Imran Khan
Mausam (2011 film),Shahid Kapoor
U R My Jaan,Mikaal
Force (2011 film),John Abraham
Saheb Biwi Aur Gangster,Jimmy Sheirgill
Tere Mere Phere,Vinay Pathak
Breakaway (2011 film),Vinay Virmani
Chargesheet (film),Dev Anand
Love Breakups Zindagi,Zayed Khan
Mujhse Fraaandship Karoge,Saqib Saleem
Aazaan,Sachiin Joshi
Ra.One,Shah Rukh Khan
Rockstar (2011 film),Ranbir Kapoor
Miley Naa Miley Hum,Chirag Paswan
Tell Me O Kkhuda,Dharmendra
Damadamm!,Himesh Reshammiya
Ladies vs Ricky Bahl,Ranveer Singh
Desi Boyz,Akshay Kumar
Game (2011 film),Abhishek Bachchan
No One Killed Jessica,Rani Mukerji
Rascals (2011 film),Ajay Devgn
The Dirty Picture,Vidya Balan
Pyaar Impossible!,Priyanka Chopra
Chance Pe Dance,Shahid Kapoor
My Friend Pinto,Prateik
Veer (2010 film),Salman Khan
Striker (2010 film),Siddharth
Rann (film),Amitabh Bachchan
Ishqiya,Vidya Balan
Road to Sangam,Paresh Rawal
Jo Hum Chahein,Sunny Gill
Click (2010 film),Shreyas Talpade
Toh Baat Pakki!,Tabu
My Name Is Khan,Shah Rukh Khan
Teen Patti (film),Amitabh Bachchan
Karthik Calling Karthik,Siddhartha Gupta
Don 2,Shah Rukh Khan
Rokkk,Tanushree Dutta
Aakhari Decision,Paul Sidhu
Right Yaaa Wrong,Sunny Deol
Sukhmani: Hope for Life,Gurdas Maan
Thanks Maa,Master Shams
Na Ghar Ke Na Ghaat Ke,Om Puri
Trump Card (film),Vikrum Kumar
Shaapit,Aditya Narayan
Hum Tum Aur Ghost,Arshad Warsi
Well Done Abba,Boman Irani
Tum Milo Toh Sahi,Nana Patekar
Jaane Kahan Se Aayi Hai,Priyanka Chopra
Prem Kaa Game,Arbaaz Khan
Sadiyaan,Rekha
The Japanese Wife,Rahul Bose
Paathshaala,Nana Patekar
Phoonk 2,Sudeep
Lahore (film),Farooq Shaikh
Apartment (film),Rohit Roy
City of Gold (2010 film),Sachin Khedekar
Chase (2010 film),Anuj Saxena
Housefull (2010 film),Akshay Kumar
Mittal v/s Mittal,Hazel Croney
It's a Wonderful Afterlife,Sanjeev Bhaskar
Prince (2010 film),Vivek Oberoi
Raavan,Abhishek Bachchan
Bumm Bumm Bole,Atul Kulkarni
Kushti (film),Rajpal Yadav
Kites (film),Hrithik Roshan
Love Sex Aur Dhokha,Nushrat Bharucha
Milenge Milenge,Kareena Kapoor
Ek Second... Jo Zindagi Badal De?,Bhushan Agarwal
Mr. Singh Mrs. Mehta,Prashant Narayanan
Lamhaa,Sanjay Dutt
Khatta Meetha (2010 film),Akshay Kumar
Tere Bin Laden,Ali Zafar
Udaan (2010 film),Rajat Barmecha
Once Upon a Time in Mumbaai,Ajay Devgn
Help (film),Bobby Deol
Peepli Live,Omkar Das Manikpuri
Lafangey Parindey,Neil Nitin Mukesh
Hello Darling,Gul Panag
Antardwand,Raj Singh Chaudhary
Aashayein,John Abraham
Soch Lo,Barkha Madan
Dabangg,Salman Khan
Khichdi: The Movie,Supriya Pathak
Red Alert: The War Within,Sunil Shetty
Life Express (2010 film),Rituparna Sengupta
The Film Emotional Atyachar,Ranvir Shorey
Hisss,Mallika Sherawat
Crook (film),Emraan Hashmi
Do Dooni Chaar,Rishi Kapoor
Aakrosh (2010 film),Ajay Devgn
Ramayana: The Epic,Manoj Bajpayee
Knock Out (2010 film),Sanjay Dutt
Jhootha Hi Sahi,John Abraham
Guzaarish (film),Hrithik Roshan
Allah Ke Banday,Varun Bhagwat
Break Ke Baad,Deepika Padukone
Khuda Kasam,Sunny Deol
Phas Gaye Re Obama,Rajat Kapoor
Malik Ek,Akanksha
A Flat (film),Jimmy Sheirgill
No Problem (2010 film),Sanjay Dutt
Band Baaja Baaraat,Ranveer Singh
Kaalo,Aditya Srivastava
Mirch,Arunoday Singh
Tees Maar Khan (2010 film),Akshay Kumar
Isi Life Mein,Akshay Oberoi
Toonpur Ka Super Hero,Ajay Devgn
Tera Kya Hoga Johnny,Neil Nitin Mukesh
Ramaa: The Saviour,Sahil Khan
I Hate Luv Storys,Imran Khan
Dulha Mil Gaya,Sushmita Sen
Anjaana Anjaani,Priyanka Chopra
Dunno Y... Na Jaane Kyon,Zeenat Aman
Pankh,Bipasha Basu
Action Replayy,Akshay Kumar
3 Idiots,Aamir Khan
Luck by Chance,Farhan Akhtar
Love Aaj Kal,Saif Ali Khan
Wanted (2009 film),Salman Khan
Delhi-6,Waheeda Rehman
Raaz: The Mystery Continues,Kangana Ranaut
Aasma: The Sky Is the Limit,Hrishitaa Bhatt
Ajab Prem Ki Ghazab Kahani,Ranbir Kapoor
Chal Chala Chal,Asrani
Billu,Irrfan Khan
The Stoneman Murders,Kay Kay Menon
Kisse Pyaar Karoon,Arshad Warsi
Dhoondte Reh Jaaoge,Paresh Rawal
Karma Aur Holi,Rati Agnihotri
Victory (2009 film),Harman Baweja
Kaminey,Shahid Kapoor
Jai Veeru,Fardeen Khan
Little Zizou,John Abraham
Gulaal (film),Kay Kay Menon
Aloo Chaat (film),Aftab Shivdasani
Barah Aana,Naseeruddin Shah
Firaaq,Inaamulhaq
Aa Dekhen Zara,Neil Nitin Mukesh
99 (2009 film),Kunal Khemu
Ek: The Power of One,Bobby Deol
Ek Se Bure Do,Anita
Sikandar (2009 film),Parzaan Dastur
Zor Lagaa Ke...Haiya!,Meghan Jadhav
Paying Guests,Shreyas Talpade
New York (2009 film),John Abraham
Sankat City,Kay Kay Menon
Shortkut,Sanjay Dutt
Luck (2009 film),Mithun Chakraborty
Life Partner,Govinda
Daddy Cool (2009 Hindi film),Sunil Shetty
Kisaan,Jackie Shroff
Yeh Mera India,Anupam Kher
Aagey Se Right,Shreyas Talpade
Chintu Ji,Rishi Kapoor
Quick Gun Murugun,Rajendra Prasad
Fox (film),Arjun Rampal
Baabarr,Mithun Chakraborty
Phir Kabhi,Mithun Chakraborty
Vaada Raha,Bobby Deol
Dil Bole Hadippa!,Shahid Kapoor
What's Your Raashee?,Harman Baweja
Acid Factory,Fardeen Khan
All the Best: Fun Begins,Sanjay Dutt
Wake Up Sid,Ranbir Kapoor
Main Aurr Mrs Khanna,Salman Khan
Blue (2009 film),Akshay Kumar
Fruit and Nut (film),Atmaram Bhende
Aladin (film),Amitabh Bachchan
London Dreams,Salman Khan
Jail (2009 film),Manoj Bajpayee
Tum Mile,Emraan Hashmi
Kurbaan (2009 film),Lewis Tan
De Dana Dan,Akshay Kumar
Paa (film),Amitabh Bachchan
Rocket Singh: Salesman of the Year,Ranbir Kapoor
Raat Gayi Baat Gayi?,Aamir Bashir
Accident on Hill Road,Farooq Shaikh
Chandni Chowk to China,Mithun Chakraborty
Dostana (2008 film),Abhishek Bachchan
Race (2008 film),Saif Ali Khan
Rab Ne Bana Di Jodi,Shah Rukh Khan
Ghajini (2008 film),Aamir Khan
Singh Is Kinng,Akshay Kumar
Golmaal Returns,Ajay Devgn
Jodhaa Akbar,Hrithik Roshan
Bachna Ae Haseeno,Ranbir Kapoor
Bhoothnath,Amitabh Bachchan
Sarkar Raj,Amitabh Bachchan
Halla Bol,Ajay Devgn
Humne Jeena Seekh Liya,Omkar Bhatkar
Bombay to Bangkok,Shreyas Talpade
Tulsi (film),Manisha Koirala
Sunday (2008 film),Ajay Devgn
One Two Three,Tusshar Kapoor
Krazzy 4,Juhi Chawla
U Me Aur Hum,Ajay Devgn
Sirf (film),Kay Kay Menon
Tashan (film),Akshay Kumar
Anamika (2008 film),Dino Morea
Jimmy (2008 film),Mimoh Chakraborty
Jannat (film),Emraan Hashmi
Don Muthu Swami,Mithun Chakraborty
Woodstock Villa,Sikander Kher
Mere Baap Pehle Aap,Paresh Rawal
Summer 2007,Ahraz Ahmed
De Taali,Aftab Shivdasani
Haal-e-Dil,Amita Pathak
Thodi Life Thoda Magic,Saahil Chadha
Thoda Pyaar Thoda Magic,Saif Ali Khan
Via Darjeeling,Kay Kay Menon
Kismat Konnection,Shahid Kapoor
Love Story 2050,Harman Baweja
Contract (2008 film),Adhvik Mahajan
Mission Istaanbul,Vivek Oberoi
Money Hai Toh Honey Hai,Govinda
God Tussi Great Ho,Amitabh Bachchan
Mumbai Meri Jaan,Paresh Rawal
Maan Gaye Mughal-e-Azam,Mallika Sherawat
Rock On!!,Arjun Rampal
C Kkompany,Tusshar Kapoor
Chamku,Bobby Deol
Mukhbiir,Sammir Dattani
Tahaan,Victor Banerjee
1920 (film),Rajniesh Duggall
The Last Lear,Amitabh Bachchan
Welcome to Sajjanpur,Shreyas Talpade
Saas Bahu Aur Sensex,Kiron Kher
Hari Puttar: A Comedy of Terrors,Jackie Shroff
Drona (2008 film),Jayshree Arora
Hello (2008 film),Sharman Joshi
Karzzzz,Himesh Reshammiya
Heroes (2008 film),Sohail Khan
Roadside Romeo,Saif Ali Khan
Ek Vivaah... Aisa Bhi,Isha Koppikar
Deshdrohi,Kamal Rashid Khan
Fashion (2008 film),Priyanka Chopra
Dasvidaniya,Vinay Pathak
Yuvvraaj,Salman Khan
Oye Lucky! Lucky Oye!,Abhay Deol
Oh My God (2008 film),Vinay Pathak
Sorry Bhai!,Shabana Azmi
1971 (2007 film),Manoj Bajpayee
Meerabai Not Out,Anupam Kher
Wafa: A Deadly Love Story,Rajesh Khanna
Gumnaam – The Mystery,Dino Morea
Dil Kabaddi,Irrfan Khan
Aag (2007 film),Amitabh Bachchan
Aap Kaa Surroor,Himesh Reshammiya
Aggar (film),Tusshar Kapoor
Anwar (2007 film),Nauheed Cyrusi
Aaja Nachle,Madhuri Dixit
Apne,Dharmendra
Awarapan,Emraan Hashmi
Bheja Fry (film),Vinay Pathak
Bhool Bhulaiyaa,Akshay Kumar
Bhram,Dino Morea
Big Brother (2007 film),Sunny Deol
68 Pages,Mouli Ganguly
Aur Pappu Paas Ho Gaya,Krishna Abhishek
Apna Asmaan,Irrfan Khan
Black Friday (2007 film),Kay Kay Menon
The Blue Umbrella (2005 film),Pankaj Kapur
Blood Brothers (2007 Indian film),Jazzy Doe
Buddha Mar Gaya,Mona Ambegaonkar
Cash (2007 film),Ajay Devgn
Cheeni Kum,Amitabh Bachchan
Chhodon Naa Yaar,Jimmy Sheirgill
Darling (2007 Indian film),Fardeen Khan
Chak De! India,Shah Rukh Khan
Dhamaal,Sanjay Dutt
Goal (2007 Hindi film),John Abraham
Dharm (film),Pankaj Kapur
Bombay to Goa (2007 film),Sunil Pal
Dhokha,Muzamil Ibrahim
Dil Dosti Etc,Imaaduddin Shah
Dhol (film),Sharman Joshi
Ek Chalis Ki Last Local,Abhay Deol
Familywala,Arjun Rampal
Gandhi My Father,Akshaye Khanna
Don't Stop Dreaming,Rishi Kapoor
Dus Kahaniyaan,Arbaaz Khan
Eklavya: The Royal Guard,Amitabh Bachchan
Go (2007 film),Gautam Gupta
Gauri: The Unborn,Mohan Azaad
Heyy Babyy,Juanna Sanghvi
Guru (2007 film),Mithun Chakraborty
Honeymoon Travels Pvt. Ltd.,Ranvir Shorey
Jahan Jaaeyega Hamen Paaeyega,Govinda
Jhoom Barabar Jhoom,Abhishek Bachchan
Jab We Met,Shahid Kapoor
Good Boy Bad Boy,Tusshar Kapoor
Fool & Final,Shahid Kapoor
Khoya Khoya Chand,Shiney Ahuja
Johnny Gaddaar,Dharmendra
Just Married (2007 film),Fardeen Khan
Kya Love Story Hai,Tusshar Kapoor
Kudiyon Ka Hai Zamana,Rekha
Hastey Hastey,Jimmy Sheirgill
Laaga Chunari Mein Daag,Rani Mukerji
Life in a... Metro,Dharmendra
Loins of Punjab Presents,Shabana Azmi
Manorama Six Feet Under,Abhay Deol
Marigold (2007 film),Salman Khan
MP3: Mera Pehla Pehla Pyaar,Menekka Arora
Hattrick (film),Nana Patekar
Naqaab,Bobby Deol
Mumbai Salsa,Linda Arsenio
The Namesake (film),Kal Penn
Namastey London,Akshay Kumar
My Bollywood Bride,Jason Lewis
Nehlle Pe Dehlla,Sanjay Dutt
Nishabd,Amitabh Bachchan
No Smoking (2007 film),John Abraham
Om Shanti Om,Shah Rukh Khan
Partner (2007 film),Salman Khan
Raqeeb,Rahul Khanna
Nanhe Jaisalmer,Dwij Yadav
Life Mein Kabhie Kabhiee,Aftab Shivdasani
Risk (2007 film),Vinod Khanna
Shakalaka Boom Boom,Bobby Deol
Red Swastik,Sherlyn Chopra
Salaam-e-Ishq: A Tribute to Love,Salman Khan
Saawariya,Rani Mukerji
Sarhad Paar,Mahima Chaudhry
Say Salaam India,Mandar Jadhav
Red: The Dark Side,Aftab Shivdasani
Shootout at Lokhandwala,Amitabh Bachchan
Strangers (2007 Hindi film),Jimmy Sheirgill
Swami (2007 film),Manoj Bajpayee
Taare Zameen Par,Darsheel Safary
Ta Ra Rum Pum,Saif Ali Khan
Speed (2007 film),Urmila Matondkar
Traffic Signal (film),Kunal Khemu
The Train (2007 film),Emraan Hashmi
Showbiz (film),Tushar Jalota
Sunglass (film),Jaya Bachchan
Welcome (2007 film),Akshay Kumar
36 China Town,Akshaye Khanna
Zamaanat,Jeetendra
Aap Ki Khatir (2006 film),Akshaye Khanna
Ahista Ahista (2006 film),Abhay Deol
Aksar,Emraan Hashmi
Alag,Akshay Kapoor
Anthony Kaun Hai?,Sanjay Dutt
Apna Sapna Money Money,Bobby Darling
Ankahee (2006 film),Aftab Shivdasani
Yatra (2007 film),Rekha
Baabul (2006 film),Amitabh Bachchan
Aisa Kyon Hota Hai?,Rati Agnihotri
Adharm (2006 film),Rahul Dev
Being Cyrus,Naseeruddin Shah
Banaras (2006 film),Urmila Matondkar
Bas Ek Pal,Juhi Chawla
Bhagam Bhag,Akshay Kumar
Chingaari,Sushmita Sen
Bhoot Unkle,Jackie Shroff
Chand Ke Paar Chalo (film),Somesh Agarwal
Aryan: Unbreakable,Sohail Khan
Chup Chup Ke,Kareena Kapoor
Corporate (2006 film),Bipasha Basu
Darna Zaroori Hai,Amitabh Bachchan
Deadline: Sirf 24 Ghante,Rajit Kapoor
Dil Diya Hai,Emraan Hashmi
Darwaaza Bandh Rakho,Ishrat Ali
Eight: The Power of Shani,Raj Tara
Dhoom 2,Hrithik Roshan
Dor (film),Ayesha Takia
Don (2006 Hindi film),Shah Rukh Khan
Family (2006 film),Amitabh Bachchan
Fanaa (2006 film),Aamir Khan
Gangster (2006 film),Kangana Ranaut
Golmaal: Fun Unlimited,Ajay Devgn
Devaki (2005 film),Ram Kapoor
Fight Club – Members Only,Sunil Shetty
Dharti Kahe Pukar Ke (2006 film),Ajay Devgn
Humko Deewana Kar Gaye,Akshay Kumar
Humko Tumse Pyaar Hai,Arjun Rampal
I See You (2006 film),Arjun Rampal
Jaane Hoga Kya,Aftab Shivdasani
Jaan-E-Mann,Salman Khan
Jawani Diwani: A Youthful Joyride,Emraan Hashmi
Holiday (2006 film),Onjolee Nair
Iqraar by Chance,Amarjeet
Khosla Ka Ghosla,Anupam Kher
Kabhi Alvida Naa Kehna,Amitabh Bachchan
Love Ke Chakkar Mein,Rishi Kapoor
Lage Raho Munna Bhai,Sanjay Dutt
Kabul Express,John Abraham
Jigyaasa,Nassar Abdulla
Krrish,Rekha
Malamaal Weekly,Paresh Rawal
Omkara (2006 film),Ajay Devgn
Pyaar Ke Side Effects,Rahul Bose
Naksha,Sunny Deol
Phir Hera Pheri,Akshay Kumar
Pyare Mohan,Fardeen Khan
Mere Jeevan Saathi (2006 film),Akshay Kumar
Prateeksha,Jeetendra
Sacred Evil – A True Story,Sarika
Rang De Basanti,Aamir Khan
Shaadi Karke Phas Gaya Yaar,Salman Khan
Sandwich (2006 film),Govinda
Shaadi Se Pehle,Akshaye Khanna
Saawan... The Love Season,Salman Khan
Shiva (2006 film),Mohit Ahlawat
Souten: The Other Woman,Mahima Chaudhry
Shikhar (film),Ajay Devgn
Children of Heaven,Mohammad Amir Naji
Tathastu,Sanjay Dutt
The Killer (2006 film),Irrfan Khan
Umrao Jaan (2006 film),Aishwarya Rai Bachchan
Taxi No. 9211,Nana Patekar
Teesri Aankh: The Hidden Camera,Sunny Deol
Vivah,Shahid Kapoor
Utthaan,Priyanshu Chatterjee
Waris Shah: Ishq Daa Waaris,Gurdas Maan
Woh Lamhe...,Kangana Ranaut
Yun Hota Toh Kya Hota,Paresh Rawal
Umar (film),Jimmy Sheirgill
Zindaggi Rocks,Sushmita Sen
Tom Dick and Harry (2006 film),Rakesh Bedi
Aashiq Banaya Aapne,Emraan Hashmi
Anjaane (2005 film),Manisha Koirala
Apaharan,Ajay Devgn
Bachke Rehna Re Baba,Rekha
7½ Phere,Juhi Chawla
Barsaat (2005 film),Bobby Deol
Bewafaa (2005 film),Anil Kapoor
Black (2005 film),Amitabh Bachchan
Zinda (film),Sanjay Dutt
Bluffmaster!,Abhishek Bachchan
99.9 FM (film),Shawar Ali
Bhola in Bollywood,Ali Asgar
Bhagmati (2005 film),Tabu
Blackmail (2005 film),Ajay Devgn
Bunty Aur Babli,Abhishek Bachchan
Chaahat – Ek Nasha,Aryan Vaid
Chetna: The Excitement,Jatin Grewal
Chand Sa Roshan Chehra,Samir Aftab
Chocolate (2005 film),Anil Kapoor
D (film),Randeep Hooda
Deewane Huye Paagal,Akshay Kumar
Bullet: Ek Dhamaka,Saayli Buva
Chehraa,Bipasha Basu
Dil Jo Bhi Kahey...,Amitabh Bachchan
Dosti: Friends Forever,Akshay Kumar
Classic – Dance of Love,Mithun Chakraborty
Dus,Sanjay Dutt
Elaan (2005 film),Arjun Rampal
Fareb (2005 film),Shilpa Shetty Kundra
Ek Ajnabee,Amitabh Bachchan
Fun – Can Be Dangerous Sometimes,Siddharth Koirala
Ek Khiladi Ek Haseena (film),Fardeen Khan
Double Cross (2005 film),Ayesha Jhulka
Dreams (2006 film),Aseel Adel
Home Delivery,Vivek Oberoi
Garam Masala (2005 film),Akshay Kumar
Iqbal (film),Shreyas Talpade
Jai Chiranjeeva,Chiranjeevi
Hazaaron Khwaishein Aisi,Kay Kay Menon
Insan,Akshay Kumar
Jo Bole So Nihaal (film),Sunny Deol
Karam (film),John Abraham
Kaal (2005 film),Ajay Devgn
Kalyug (2005 film),Kunal Khemu
Kasak (2005 film),Lucky Ali
Hanuman (2005 film),Mukesh Khanna
James (2005 film),Mohit Ahlawat
Kisna: The Warrior Poet,Vivek Oberoi
Koi Aap Sa,Aftab Shivdasani
Khamoshh... Khauff Ki Raat,Shilpa Shetty Kundra
Jurm (2005 film),Kamal Adib
Kuchh Meetha Ho Jaye,Arshad Warsi
Kyaa Kool Hai Hum,Tusshar Kapoor
Lucky: No Time for Love,Salman Khan
Main Aisa Hi Hoon,Ajay Devgn
Kyon Ki,Salman Khan
Main Meri Patni Aur Woh,Rajpal Yadav
Maine Gandhi Ko Nahin Mara,Anupam Kher
Maine Pyaar Kyun Kiya?,Salman Khan
Mangal Pandey: The Rising,Aamir Khan
Koi Mere Dil Mein Hai,Dia Mirza
Mr Prime Minister,Dev Anand
My Brother…Nikhil,Sanjay Suri
My Wife's Murder,Anil Kapoor
Naina (2005 film),Urmila Matondkar
Neal 'n' Nikki,Uday Chopra
No Entry,Anil Kapoor
Padmashree Laloo Prasad Yadav,Sunil Shetty
Page 3 (film),Konkona Sen Sharma
Morning Raga,Shabana Azmi
Parineeta (2005 film),Saif Ali Khan
Pehchaan: The Face of Truth,Vinod Khanna
Paheli,Shah Rukh Khan
Rog,Irrfan Khan
Pyaar Mein Twist,Rishi Kapoor
Salaam Namaste,Saif Ali Khan
Revati (film),Kashmira Shah
Sarkar (2005 film),Amitabh Bachchan
Sehar,Arshad Warsi
Shabd (film),Sanjay Dutt
Shabnam Mausi,Ashutosh Rana
Sheesha (2005 film),Neha Dhupia
Ramji Londonwaley,Madhavan
Silsiilay,Tabu
Socha Na Tha,Abhay Deol
Taj Mahal: An Eternal Love Story,Zulfi Sayed
Tango Charlie,Ajay Devgn
The Film,Nassar Abdulla
Vaada (film),Arjun Rampal
Vaah! Life Ho Toh Aisi!,Shahid Kapoor
Ssukh,Aarti Chhabria
Shaadi No. 1,Fardeen Khan
Viruddh... Family Comes First,Amitabh Bachchan
Waqt: The Race Against Time,Amitabh Bachchan
Vidyaarthi,Vikram Aditya
Yakeen (2005 film),Arjun Rampal
Zeher,Emraan Hashmi
Veer-Zaara,Shah Rukh Khan
Main Hoon Na,Shah Rukh Khan
Zameer: The Fire Within,Ajay Devgn
Mujhse Shaadi Karogi,Salman Khan
Dhoom,Abhishek Bachchan
Khakee,Amitabh Bachchan
Hum Tum,Saif Ali Khan
Hulchul (2004 film),Akshaye Khanna
Murder (2004 film),Mallika Sherawat
Yuva,Ajay Devgn
Aitraaz,Akshay Kumar
Aetbaar,Amitabh Bachchan
Ab Tumhare Hawale Watan Saathiyo,Amitabh Bachchan
Aan: Men at Work,Shatrughan Sinha
Bardaasht,Bobby Deol
Chameli (film),Kareena Kapoor
Agnipankh,Jimmy Sheirgill
Asambhav,Arjun Rampal
Charas (2004 film),Jimmy Sheirgill
Deewaar (2004 film),Amitabh Bachchan
Dev (2004 film),Amitabh Bachchan
Dil Maange More,Shahid Kapoor
Dil Ne Jise Apna Kahaa,Salman Khan
Dobara,Jackie Shroff
Aabra Ka Daabra,Naveen Bawa
Dil Bechara Pyaar Ka Maara,Vikaas Kalantari
Gayab,Tusshar Kapoor
Fida,Kareena Kapoor
Garv: Pride & Honour,Salman Khan
Ek Se Badhkar Ek (2004 film),Sunil Shetty
Ek Hasina Thi (film),Saif Ali Khan
Girlfriend (2004 film),Isha Koppikar
Hatya (2004 film),Akshay Kumar
Hava Aney Dey,Aniket Vishwasrao
Hawas (2004 film),Shawar Ali
Hyderabad Blues 2,Tisca Chopra
Julie (2004 film),Neha Dhupia
Kaun Hai Jo Sapno Mein Aaya,Raqesh Bapat
Inteqam: The Perfect Game,Manoj Bajpayee
Kis Kis Ki Kismat,Mallika Sherawat
Insaaf: The Justice,Dino Morea
I Proud to Be an Indian,Sohail Khan
Khamosh Pani,Kiron Kher
Kismat (2004 film),Bobby Deol
Lakeer – Forbidden Lines,Sunny Deol
Krishna Cottage,Sohail Khan
Kyun! Ho Gaya Na...,Amitabh Bachchan
Madhoshi,Bipasha Basu
Lakshya (film),Hrithik Roshan
Ishq Hai Tumse,Dino Morea
Maqbool,Irrfan Khan
Masti (2004 film),Aftab Shivdasani
Meenaxi: A Tale of Three Cities,Tabu
Musafir (2004 film),Anil Kapoor
Mughal-e-Azam,Prithviraj Kapoor
Muskaan,Aftab Shivdasani
Meri Biwi Ka Jawaab Nahin,Akshay Kumar
Naach (2004 film),Antara Mali
Netaji Subhas Chandra Bose: The Forgotten Hero,Vinay Anand
Paap,John Abraham
Phir Milenge,Salman Khan
Plan (film),Sanjay Dutt
Police Force: An Inside Story,Akshay Kumar
Paisa Vasool,Manisha Koirala
Popcorn Khao! Mast Ho Jao,Akshay Kapoor
Rakht,Sanjay Dutt
Raincoat (film),Ajay Devgn
Rudraksh (film),Sanjay Dutt
Shaadi Ka Laddoo,Sanjay Suri
Run (2004 film),Abhishek Bachchan
Rok Sako To Rok Lo,Sunny Deol
Suno Sasurjee,Aftab Shivdasani
Swades,Shah Rukh Khan
Taarzan: The Wonder Car,Vatsal Sheth
Nothing but Life,Madhavan
Shart: The Challenge,Tusshar Kapoor
Tumsa Nahin Dekha: A Love Story,Emraan Hashmi
Vaastu Shastra (film),Vicky Ahuja
Yeh Lamhe Judaai Ke,Shah Rukh Khan
Sheen (film),Tarun Arora
Dude Where's the Party?,Diwakar Pathak
Thoda Tum Badlo Thoda Hum,Arya Babbar
Koi... Mil Gaya,Rekha
Kal Ho Naa Ho,Shah Rukh Khan
Shukriya: Till Death Do Us Apart,Anupam Kher
Chalte Chalte (2003 film),Shah Rukh Khan
The Hero: Love Story of a Spy,Sunny Deol
Baghban (2003 film),Amitabh Bachchan
Main Prem Ki Diwani Hoon,Hrithik Roshan
LOC Kargil,Sanjay Dutt
Border (1997 film),Sanjay Dutt
Munna Bhai M.B.B.S.,Sanjay Dutt
Qayamat: City Under Threat,Ajay Devgn
88 Antop Hill,Atul Kulkarni
3 Deewarein,Naseeruddin Shah
Aanch,Arun Bakshi
Aapko Pehle Bhi Kahin Dekha Hai,Priyanshu Chatterjee
Bhoot (film),Ajay Devgn
Boom (film),Amitabh Bachchan
Aaj Ka Andha Kanoon,Sudesh Berry
Andaaz,Akshay Kumar
